accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.17,-0.67,1.19,4.18,-2.17,-1.47
-0.17,-0.66,1.19,5.4,-2.11,-0.79
-0.18,-0.66,1.19,5.71,-1.32,-0.86
-0.17,-0.67,1.18,6.99,-0.7,0.98
-0.17,-0.67,1.17,9.68,1.31,0.12
-0.16,-0.68,1.18,14.8,3.69,-8.06
-0.21,-0.62,1.19,19.32,6.8,-10.01
-0.19,-0.67,1.13,16.51,3.75,-7.45
-0.24,-0.68,1.15,41.23,17.24,-12.27
-0.25,-0.58,1.1,2.6,1.43,0.61
-0.25,-0.66,1.2,0.95,6.5,-1.22
-0.25,-0.58,1.14,-9.85,0.82,-16.91
-0.52,-0.67,1.21,-10.71,-12.24,-27.71
-0.45,-0.54,1.12,-11.5,-17.25,-59.82
-0.07,-0.58,1.12,-0.82,20.78,-47.3
-0.08,-0.49,1.03,14.93,-2.66,-8.12
-0.13,-0.6,1.1,77.91,-38.42,118.83
-0.31,-0.62,1.23,81.52,-77.79,96.74
-0.56,-0.55,1.31,26.95,-2.11,21.42
-0.08,-0.55,1.03,15.96,-37.26,13.06
0.04,-0.45,0.88,-26.94,-43.37,-51.76
-0.04,-0.51,0.91,-14.8,-51.97,-52.67
0.06,-0.62,1.05,-3.63,-53.44,-32.17
-0.01,-0.54,0.99,13.95,-30.37,1.65
-0.02,-0.54,0.99,8.21,1.07,3.66
-0.03,-0.54,0.99,0.7,13.64,-5.19
-0.05,-0.54,1.0,-0.45,28.9,-2.14
-0.22,-0.52,0.75,-97.01,-6.56,79.96
0.05,-0.9,1.0,-26.21,-25.79,30.52
0.01,-0.69,0.99,21.21,9.12,-14.22
-0.03,-0.55,1.13,12.42,9.24,-9.83
0.05,-0.63,1.05,2.72,0.21,2.44
0.0,-0.65,1.04,3.94,-1.74,-3.6
0.01,-0.59,1.1,8.33,0.21,-2.44
-0.04,-0.64,1.1,-2.53,-5.47,0.3
