accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.74,-0.69,1.96,-2.53,-3.74,-3.79
-0.74,-0.67,1.95,-0.52,-3.92,-2.81
-0.74,-0.69,1.96,-0.09,-2.95,-2.93
-0.75,-0.69,1.96,0.21,-3.13,-2.93
-0.75,-0.69,1.96,-1.62,-1.54,-1.95
-0.76,-0.69,1.95,-1.31,-0.57,-6.23
-0.76,-0.7,1.95,-1.25,2.12,-10.8
-0.8,-0.74,1.99,-6.44,4.07,-26.37
-0.78,-0.6,2.06,-10.22,4.38,-30.4
-0.78,-0.6,1.98,-6.99,0.9,-7.51
-0.84,-0.74,2.03,-12.54,2.12,-26.43
-0.87,-0.56,1.91,-14.01,5.23,-33.33
-0.89,-0.66,2.06,-12.3,2.61,-23.93
-0.92,-0.52,1.97,-14.8,-5.63,5.19
-0.76,-0.65,2.01,-16.57,3.89,9.46
-0.9,-0.55,1.89,3.69,20.79,13.67
-0.98,-0.44,1.95,73.7,-18.7,-4.88
-0.88,-0.57,2.2,62.35,-33.77,-28.14
-0.62,-0.63,2.03,-5.34,-19.67,-16.36
-0.73,-0.67,1.95,-56.79,-25.04,16.11
-0.95,-0.51,1.75,-52.76,-6.18,19.84
-0.89,-0.56,1.82,-16.08,-4.47,3.97
-0.84,-0.59,1.97,-7.66,-0.08,2.5
-0.96,-0.5,2.03,75.35,-33.59,-43.95
-0.93,-0.57,2.03,-6.93,-29.19,-38.51
-0.78,-0.6,1.77,-47.27,8.4,-11.6
-0.89,-0.48,2.08,2.35,-2.03,110.84
-0.86,-0.91,1.89,13.4,-11.31,47.55
-0.77,-0.56,1.94,5.46,2.48,9.95
-0.74,-0.72,1.93,2.29,-8.38,9.15
-0.76,-0.65,1.93,-0.76,-0.81,-2.69
-0.76,-0.66,1.94,-0.82,-1.06,2.81
-0.74,-0.7,1.93,-0.4,-2.4,-4.21
-0.78,-0.66,1.91,-0.09,-1.91,-2.75
-0.76,-0.68,1.91,-3.02,-1.12,-3.24
-0.76,-0.64,1.93,-0.64,-2.34,-1.89
-0.77,-0.67,1.93,0.27,-2.52,-0.37
-0.74,-0.65,1.93,-0.64,-1.42,-3.36
-0.76,-0.66,1.92,-0.7,-2.22,-1.71
-0.75,-0.66,1.95,-3.45,-1.61,-4.33
-0.76,-0.64,1.93,-0.95,-2.58,-1.34
