accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.69,-0.73,1.99,0.99,-2.05,-2.11
-0.7,-0.74,1.99,0.32,-2.6,-4.12
-0.7,-0.73,1.98,1.91,-2.96,-3.51
-0.7,-0.74,1.98,1.18,-3.09,-3.76
-0.7,-0.73,1.99,0.87,-3.09,-3.57
-0.7,-0.72,1.98,0.32,-1.68,-3.94
-0.7,-0.72,1.98,1.05,-1.68,-4.49
-0.7,-0.72,1.99,1.42,-1.68,-3.63
-0.72,-0.73,1.98,0.75,-0.89,-6.62
-0.7,-0.71,2.0,3.01,-0.46,-6.56
-0.72,-0.73,1.99,3.5,-1.56,-8.45
-0.71,-0.7,2.0,3.37,0.27,-11.87
-0.73,-0.71,1.99,4.17,-0.46,-11.02
-0.76,-0.71,1.98,2.88,-0.03,-16.08
-0.74,-0.67,2.0,5.27,-0.77,-15.23
-0.78,-0.7,1.98,6.24,-1.68,-7.97
-0.8,-0.71,2.01,6.36,0.33,-22.68
-0.8,-0.63,2.0,7.22,-2.6,-31.22
-0.84,-0.74,2.04,-10.05,-6.26,-50.45
-0.87,-0.6,2.01,-21.29,-14.01,2.96
-0.85,-0.65,1.68,-57.72,-12.06,17.55
-0.81,-0.63,2.08,-22.69,-9.25,5.22
-0.86,-0.6,1.9,-8.22,0.45,-1.37
-0.78,-0.65,2.04,-6.76,1.98,1.43
-0.9,-0.53,2.05,77.65,-25.06,-32.38
-0.61,-0.7,2.25,53.73,-16.57,-32.14
-0.81,-0.63,1.94,10.51,-13.52,-7.91
-0.78,-0.61,2.23,-30.07,-14.99,9.0
-0.96,-0.58,1.57,-46.61,-12.61,10.16
-0.85,-0.63,1.85,-9.93,-5.4,-9.43
-0.73,-0.7,1.92,24.55,-10.96,-18.59
-0.86,-0.66,2.09,39.14,21.27,-17.37
-0.69,-0.76,1.9,20.28,12.42,4.55
-0.96,-0.54,1.87,-9.57,3.08,13.64
-0.95,-0.47,2.0,-7.74,2.35,-2.72
-0.88,-0.57,1.96,18.08,-5.89,131.44
-0.75,-1.15,1.9,13.63,-10.23,46.11
-0.72,-0.71,1.95,1.11,-3.09,-15.72
-0.7,-0.74,1.91,-2.0,-2.84,-11.75
-0.68,-0.69,1.93,-0.96,-4.73,-2.66
-0.71,-0.73,1.9,-2.43,-7.3,1.8
-0.71,-0.74,1.92,-2.0,-3.88,-3.76
-0.7,-0.71,1.93,1.11,-1.8,-0.76
-0.7,-0.75,1.93,2.15,-2.6,2.04
-0.7,-0.72,1.92,0.5,-2.17,-0.09
-0.7,-0.75,1.93,1.79,-2.17,0.27
-0.7,-0.74,1.92,-0.66,-1.44,-1.01
-0.7,-0.74,1.93,0.26,-2.35,-1.68
-0.7,-0.74,1.93,1.3,-2.11,-1.74
-0.7,-0.74,1.92,-0.53,-3.15,-2.72
-0.69,-0.74,1.93,-0.17,-2.17,-3.63
