accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.72,-0.71,-1.99,0.23,-3.33,-1.48
-0.71,-0.7,-1.97,1.45,-4.37,-0.02
-0.71,-0.69,-1.97,-0.26,-3.02,-1.6
-0.73,-0.7,-1.97,0.66,-3.76,-0.38
-0.71,-0.7,-1.98,-0.93,-2.84,-0.93
-0.72,-0.7,-1.96,0.78,-3.64,0.96
-0.72,-0.71,-1.97,1.57,-3.02,-1.24
-0.71,-0.7,-1.98,1.76,-2.96,-0.2
-0.72,-0.71,-1.97,0.6,-2.96,-1.54
-0.71,-0.7,-1.97,0.72,-3.39,0.05
-0.72,-0.71,-1.98,-0.81,-3.27,-1.48
-0.73,-0.71,-1.96,-0.81,-3.02,-2.09
-0.76,-0.73,-1.97,-8.62,-1.25,-13.26
-0.71,-0.7,-1.95,-9.54,-0.95,-16.62
-0.75,-0.75,-1.96,-21.62,4.12,-45.55
-0.78,-0.58,-1.91,-19.42,5.7,-43.05
-0.82,-0.65,-1.89,-16.25,3.93,-34.56
-0.82,-0.59,-1.65,-8.8,-17.61,-0.69
-0.79,-0.64,-2.0,-23.27,-9.01,6.39
-0.76,-0.66,-1.77,-11.49,-4.61,6.94
-0.79,-0.63,-1.93,-6.06,-2.9,9.38
-0.82,-0.64,-2.04,8.23,3.38,7.55
-0.94,-0.54,-2.21,74.39,-23.9,-14.73
-0.81,-0.56,-1.49,55.59,18.89,-31.82
-0.81,-0.6,-1.89,-3.31,-29.7,-18.94
-0.75,-0.67,-2.05,-67.58,-37.57,12.31
-0.82,-0.6,-1.86,-14.05,-8.82,0.05
-0.85,-0.59,-1.95,-4.65,7.29,1.51
-0.94,-0.51,-2.08,3.34,34.33,-17.35
-0.94,-0.55,-1.77,25.19,1.49,146.83
-0.81,-1.11,-2.03,1.39,-8.64,30.81
-0.76,-0.57,-1.96,-6.79,-3.88,-13.75
-0.73,-0.74,-1.97,-4.47,-1.68,-6.61
-0.73,-0.63,-1.97,-5.02,-1.13,-9.6
-0.74,-0.66,-1.95,0.54,-3.21,4.74
