accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.72,-0.68,-1.96,-0.03,-3.35,2.64
-0.73,-0.69,-1.95,0.58,-4.14,2.27
-0.73,-0.68,-1.95,0.03,-3.65,1.18
-0.73,-0.68,-1.95,0.64,-2.25,-2.42
-0.73,-0.67,-1.97,0.76,0.26,-5.54
-0.74,-0.68,-1.96,0.52,-1.09,-6.09
-0.74,-0.65,-1.95,-0.03,-2.43,-8.04
-0.76,-0.65,-1.97,1.92,-4.26,-5.84
-0.73,-0.63,-1.95,2.17,-5.3,-2.55
-0.76,-0.67,-1.96,4.18,-3.35,-3.89
-0.8,-0.64,-1.95,2.17,-4.26,-12.43
-0.77,-0.63,-1.99,3.51,-0.78,-16.77
-0.78,-0.63,-1.93,-2.96,-0.05,-23.67
-0.8,-0.54,-1.95,0.46,0.56,-21.28
-0.88,-0.62,-1.93,1.31,-0.48,-15.3
-0.66,-0.46,-1.98,-11.2,2.33,-54.55
-0.93,-0.51,-1.86,-2.65,-7.43,0.32
-0.84,-0.55,-1.74,-43.0,-39.66,12.59
-0.82,-0.58,-1.9,-27.13,-14.64,9.54
-0.87,-0.57,-2.07,-31.83,-7.07,14.73
-0.9,-0.52,-2.01,-9.0,-2.0,7.95
-0.85,-0.54,-1.91,3.51,4.04,10.15
-0.93,-0.53,-2.05,28.17,-2.25,4.04
-0.48,-0.49,-2.02,61.8,17.35,-19.94
-0.84,-0.51,-1.66,36.65,3.8,-22.63
-0.82,-0.57,-2.01,-7.6,-20.01,-12.86
-0.8,-0.6,-2.07,-60.03,-32.83,12.65
-0.91,-0.54,-2.03,-28.72,-1.15,5.69
-0.47,-0.33,-1.95,6.74,18.87,4.84
-0.89,-0.62,-1.94,17.55,-2.31,77.1
-0.87,-0.75,-1.96,6.5,-5.18,19.43
-0.81,-0.54,-1.94,1.68,-4.75,18.08
-0.78,-0.68,-1.94,8.76,-5.73,16.8
-0.81,-0.6,-1.97,3.51,-4.63,1.79
-0.79,-0.59,-1.97,0.89,-2.06,13.26
-0.8,-0.64,-1.97,-0.15,-3.28,10.27
-0.78,-0.62,-1.98,-0.52,-2.8,6.18
-0.78,-0.63,-1.96,1.19,-2.67,6.79
