accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.67,-0.75,-1.9,0.4,-3.01,-7.18
-0.66,-0.73,-1.89,1.25,-2.95,-7.54
-0.67,-0.75,-1.89,1.01,-1.97,-10.35
-0.68,-0.75,-1.9,-3.02,-1.67,-16.82
-0.68,-0.71,-1.87,-0.82,-2.7,-12.55
-0.69,-0.73,-1.87,1.37,-0.75,-11.14
-0.68,-0.71,-1.88,2.17,0.41,-12.42
-0.69,-0.76,-1.89,0.7,1.93,-16.45
-0.69,-0.67,-1.88,-4.12,1.81,-26.65
-0.68,-0.67,-1.86,-0.21,0.41,-19.75
-0.75,-0.76,-1.87,-5.58,-0.32,-28.35
-0.76,-0.52,-1.88,-15.96,15.3,-19.26
-0.74,-0.67,-1.85,-0.7,-2.22,-4.49
-0.74,-0.66,-1.84,0.95,-7.34,-4.98
-0.73,-0.66,-1.84,-25.42,-29.8,0.64
-0.72,-0.68,-1.83,-30.24,-17.47,0.76
-0.77,-0.7,-2.03,-38.54,-15.34,4.79
-0.7,-0.69,-1.81,-9.12,-6.79,-2.17
-0.75,-0.66,-1.91,0.09,7.73,5.52
-0.77,-0.61,-1.95,48.74,1.57,-10.72
-0.75,-0.63,-1.59,72.91,31.66,-42.7
-0.75,-0.61,-1.75,38.61,6.45,-36.23
-0.77,-0.63,-1.78,-0.82,-18.57,-17.98
-0.62,-0.78,-2.14,-77.6,-32.43,11.14
-0.81,-0.65,-1.98,-15.41,-11.92,-2.23
-0.82,-0.6,-1.84,-14.98,18.72,-9.07
-0.81,-0.48,-1.9,43.43,-12.53,98.78
-0.75,-1.09,-1.89,27.92,-3.99,41.29
-0.67,-0.64,-1.89,9.13,2.55,-14.87
-0.65,-0.74,-1.9,12.67,-1.12,7.6
-0.64,-0.74,-1.9,6.68,-2.64,-5.83
-0.58,-0.67,-1.95,20.84,-14.54,17.91
-0.61,-0.71,-1.88,16.69,-4.17,23.83
-0.61,-0.81,-1.92,23.47,-11.25,24.99
-0.63,-0.9,-1.91,5.34,-5.02,0.76
-0.61,-0.78,-1.95,2.29,-2.28,-9.13
-0.61,-0.81,-1.93,1.8,-3.68,-1.62
-0.61,-0.82,-1.94,1.01,-3.13,-7.3
-0.6,-0.81,-1.94,-4.67,-2.95,-12.3
-0.61,-0.81,-1.95,-1.13,-2.83,-8.88
-0.61,-0.8,-1.96,0.4,-0.81,-7.91
-0.61,-0.8,-1.93,3.39,-1.18,-6.44
-0.62,-0.81,-1.94,0.03,-1.3,-8.34
-0.61,-0.79,-1.92,1.56,-2.03,-4.12
-0.61,-0.82,-1.93,0.7,-2.15,-7.72
-0.61,-0.79,-1.93,0.34,-1.79,-6.44
-0.61,-0.8,-1.93,1.07,-1.36,-5.83
-0.62,-0.8,-1.94,1.31,-1.36,-6.5
-0.62,-0.82,-1.94,0.58,-2.03,-6.69
