accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.69,-0.73,-1.95,0.7,-3.76,-3.97
-0.69,-0.73,-1.95,2.05,-3.7,-3.72
-0.69,-0.71,-1.94,0.95,-2.96,-5.8
-0.7,-0.72,-1.94,1.37,-0.4,-8.67
-0.7,-0.72,-1.95,3.63,-0.28,-8.73
-0.73,-0.72,-1.94,3.02,1.25,-13.37
-0.68,-0.69,-1.96,5.04,3.87,-14.96
-0.76,-0.7,-1.95,6.5,3.02,-6.96
-0.71,-0.69,-1.95,7.42,0.09,-16.42
-0.74,-0.69,-1.98,10.53,-1.38,-14.89
-0.79,-0.73,-1.93,5.65,-0.28,-30.09
-0.84,-0.64,-1.92,-1.62,-0.71,-50.66
-0.93,-0.54,-1.92,-0.64,1.13,-3.79
-0.74,-0.65,-1.91,-13.52,-24.81,3.66
-0.84,-0.53,-1.58,-48.0,-27.8,15.68
-0.71,-0.65,-1.98,-68.45,-19.08,22.15
-0.94,-0.7,-1.7,-58.14,-30.55,19.53
-0.8,-0.56,-1.94,-13.58,-6.02,4.94
-0.94,-0.58,-2.28,53.01,-27.74,-10.13
-0.82,-0.61,-1.57,152.74,50.08,-85.45
-0.57,-0.69,-1.55,67.84,3.93,-46.82
-0.66,-0.61,-1.52,-57.4,-26.58,21.85
-0.88,-0.65,-2.11,-47.7,-33.42,33.45
-0.96,-0.5,-2.25,-24.57,-11.2,21.73
-0.99,-0.48,-1.99,6.75,-6.26,1.28
-0.84,-0.55,-1.72,-55.45,-35.56,-4.21
-0.79,-0.75,-2.48,-17.97,-12.3,-4.52
-0.8,-0.62,-1.93,-3.39,5.7,-2.32
-0.03,-0.18,-1.68,34.27,32.99,2.13
-0.84,-0.87,-1.86,50.26,-13.83,115.11
-0.74,-0.99,-1.94,17.12,-2.23,1.4
-0.7,-0.63,-1.93,8.33,3.26,-11.17
-0.68,-0.74,-1.96,-0.95,-2.9,-1.59
-0.69,-0.69,-1.97,-2.53,-1.07,-9.58
