accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.69,-0.7,-1.9,5.13,-1.85,-0.2
-0.71,-0.74,-1.86,3.18,-2.16,-1.97
-0.69,-0.74,-1.94,-7.57,-1.54,-22.66
-0.71,-0.67,-1.88,-8.54,-3.19,-19.24
-0.76,-0.77,-1.88,-11.47,-1.06,-27.54
-0.76,-0.61,-1.86,-15.93,1.26,-39.75
-0.77,-0.6,-1.84,-6.9,-3.56,-19.24
-0.79,-0.64,-1.86,-5.31,-3.56,-20.04
-0.78,-0.57,-1.86,-1.52,-3.74,-13.57
-0.83,-0.62,-1.83,-1.83,-2.4,-10.76
-0.82,-0.61,-1.81,-7.93,-2.22,-19.55
-0.85,-0.52,-1.75,-11.96,26.59,-0.75
-0.82,-0.59,-1.85,-4.52,-13.08,2.43
-0.85,-0.56,-1.75,-12.08,-17.84,6.58
-0.87,-0.61,-1.96,-28.56,-24.19,9.87
-0.88,-0.58,-1.92,-26.92,-15.7,9.63
-0.83,-0.6,-1.93,-15.5,-11.8,5.97
-0.88,-0.52,-1.91,-12.08,-0.57,13.35
-0.82,-0.61,-1.84,0.98,4.19,8.65
-0.92,-0.55,-1.97,33.75,4.07,-4.04
-0.98,-0.56,-1.93,69.83,38.92,-30.11
-0.73,-0.56,-1.39,49.32,12.8,-37.61
-0.69,-0.47,-0.96,-20.75,-31.21,-8.13
-0.77,-0.67,-1.97,-82.95,-40.06,31.17
-0.95,-0.5,-2.03,-19.59,-14.18,11.82
-0.85,-0.59,-1.81,-10.19,15.42,6.45
-0.88,-0.59,-1.99,102.91,-0.14,-57.88
-0.77,-0.68,-2.15,93.69,-3.62,-60.93
-0.74,-0.67,-1.95,65.25,15.24,-39.44
-0.89,-0.49,-1.79,22.16,58.45,4.74
-1.07,-0.35,-1.78,-80.44,-21.63,68.22
-1.09,-0.35,-1.79,-94.11,-75.34,27.02
-0.71,-0.62,-1.8,-55.54,-66.61,0.84
-0.82,-0.58,-2.01,-49.07,-19.43,9.32
-0.04,0.0,-1.74,12.15,-5.57,47.16
-0.85,-0.84,-1.65,48.34,-38.53,96.79
-0.83,-0.82,-1.92,19.17,-4.05,0.04
-0.76,-0.61,-1.79,21.0,-3.13,-14.42
-0.76,-0.73,-1.89,12.15,0.59,-20.83
-0.73,-0.59,-1.85,6.29,-3.44,-25.04
-0.76,-0.6,-1.9,7.87,-5.45,2.97
-0.79,-0.68,-1.93,3.24,0.35,0.23
-0.78,-0.64,-1.9,-3.6,-0.69,-6.06
-0.78,-0.6,-1.9,7.02,0.41,2.55
-0.78,-0.67,-1.89,7.2,-1.85,6.09
