accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.65,-0.75,-1.88,-1.8,-5.36,0.11
-0.65,-0.75,-1.88,-2.17,-2.49,1.94
-0.65,-0.77,-1.87,1.31,-3.16,2.61
-0.65,-0.78,-1.89,3.14,-2.74,0.35
-0.66,-0.79,-1.89,4.49,2.09,-6.79
-0.71,-0.8,-1.92,5.71,6.05,-15.28
-0.68,-0.75,-1.86,10.16,7.64,-25.65
-0.67,-0.71,-1.88,11.57,2.88,-20.77
-0.69,-0.75,-1.82,4.85,1.05,-13.44
-0.67,-0.7,-1.95,3.08,-1.09,-10.82
-0.67,-0.75,-1.88,9.49,0.19,-1.42
-0.69,-0.75,-1.87,9.55,3.73,-14.6
-0.73,-0.74,-1.88,6.74,1.17,-22.05
-0.76,-0.74,-1.83,2.17,3.43,-39.32
-0.86,-0.59,-1.86,-2.84,-14.52,-0.08
-0.7,-0.65,-1.52,-21.21,-28.86,10.18
-0.71,-0.64,-1.73,-88.59,-66.46,31.11
-0.74,-0.67,-1.75,-93.54,-52.42,30.2
-0.68,-0.69,-2.11,-56.37,-36.06,21.28
-0.71,-0.71,-1.88,-25.73,10.27,17.01
-0.75,-0.72,-2.05,6.81,6.73,9.57
-1.17,-0.56,-2.06,112.52,32.18,-46.22
-0.68,-0.72,-1.56,111.54,39.2,-76.86
-0.73,-0.73,-1.83,42.33,20.34,-29.74
-0.69,-0.64,-1.57,-31.34,-36.06,13.05
-0.73,-0.73,-1.96,-61.92,-31.18,27.75
-0.75,-0.65,-1.81,-16.81,-16.41,2.85
-0.86,-0.65,-2.07,9.06,-4.57,-17.59
-0.65,-0.59,-1.67,49.9,4.96,-37.92
-0.7,-0.68,-1.84,-20.72,-42.29,-8.01
-0.77,-0.67,-1.93,-34.21,-3.96,3.34
-0.78,-0.5,-1.97,10.22,0.38,71.7
-0.84,-0.82,-1.81,34.33,-14.15,84.64
-0.7,-0.93,-2.0,3.63,-6.52,27.75
-0.69,-0.72,-1.92,-0.82,-2.37,15.18
-0.64,-0.82,-1.93,7.72,-9.08,12.5
-0.64,-0.79,-1.95,-0.52,-5.36,0.47
-0.64,-0.77,-1.94,4.55,0.13,5.35
-0.65,-0.82,-1.95,5.1,0.5,10.85
-0.63,-0.8,-1.91,0.52,-1.76,5.66
-0.61,-0.83,-1.9,4.12,-3.71,0.65
-0.61,-0.81,-1.93,1.37,-3.59,-3.43
-0.63,-0.82,-1.93,-0.58,-2.25,-4.84
-0.61,-0.81,-1.92,1.74,-1.58,-3.07
-0.62,-0.81,-1.92,-0.82,-2.49,-3.43
-0.61,-0.8,-1.93,-2.72,-1.39,-3.37
-0.62,-0.8,-1.91,-0.88,-2.12,-0.99
-0.62,-0.8,-1.92,1.37,-3.65,-1.3
