accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.66,-0.72,-1.83,0.63,-4.15,-0.78
-0.67,-0.72,-1.83,-0.59,-4.15,-0.6
-0.67,-0.73,-1.83,0.99,-3.42,-2.85
-0.67,-0.73,-1.83,0.87,-2.51,-3.71
-0.7,-0.74,-1.84,4.41,1.95,-13.78
-0.71,-0.71,-1.8,4.04,-0.25,-17.5
-0.71,-0.74,-1.83,1.66,2.86,-24.7
-0.71,-0.61,-1.82,2.64,-0.19,-22.51
-0.71,-0.67,-1.82,8.56,-4.28,-2.49
-0.76,-0.69,-1.84,4.78,-1.65,-14.02
-0.74,-0.67,-1.84,0.38,-2.26,-18.54
-0.75,-0.68,-1.83,-1.08,-2.99,-22.14
-0.76,-0.65,-1.79,-6.82,-0.68,-38.01
-0.9,-0.52,-1.86,-13.29,51.27,-25.86
-0.71,-0.57,-1.5,-3.1,-22.83,5.75
-0.86,-0.62,-1.84,-37.58,-29.48,18.33
-0.82,-0.6,-1.92,-87.69,-55.55,40.6
-0.84,-0.62,-1.86,-29.53,-24.36,11.55
-0.85,-0.59,-1.9,-10.79,-5.56,5.14
-0.94,-0.57,-2.28,21.32,10.31,0.99
-0.83,-0.49,-1.44,94.44,30.7,-60.65
-0.64,-0.64,-1.57,9.72,-26.68,-24.34
-0.85,-0.67,-1.99,-62.18,-26.31,18.51
-0.73,-0.24,-1.77,12.28,-3.6,73.2
-0.88,-1.16,-1.95,1.79,-14.59,88.39
-0.91,-0.68,-1.89,-31.72,-16.48,1.48
-0.65,-0.61,-1.73,-28.91,-15.63,1.6
-0.83,-0.71,-1.8,-34.1,12.81,-35.93
-1.0,-0.43,-1.91,-25.01,-1.9,13.2
-0.75,-0.68,-1.91,-7.13,-2.38,10.09
-0.74,-0.62,-1.62,16.8,0.85,-9.2
-0.64,-0.71,-1.75,-8.71,-9.28,1.11
-0.77,-0.58,-1.66,7.46,0.42,3.74
-0.69,-0.65,-1.67,10.45,-7.88,-7.8
-0.8,-0.62,-1.89,-13.96,23.01,1.42
-0.57,-0.3,-1.62,35.66,-52.62,125.87
-0.72,-1.01,-1.78,66.3,-82.46,135.94
-0.7,-1.02,-1.93,27.85,-19.54,37.25
-0.65,-0.89,-1.86,30.84,15.38,-27.76
-0.6,-0.89,-1.79,-0.84,3.78,-52.72
-0.59,-0.68,-1.84,-23.42,2.01,-45.09
-0.61,-0.65,-1.87,-8.47,-0.74,-3.04
-0.65,-0.8,-1.84,1.72,-4.46,7.34
-0.63,-0.74,-1.87,-5.84,-1.16,-6.21
