accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.66,-0.73,-1.84,0.5,-4.61,-2.37
-0.67,-0.74,-1.85,0.14,-4.37,-0.78
-0.67,-0.73,-1.85,1.18,-4.12,-2.73
-0.67,-0.74,-1.83,0.81,-4.25,-2.67
-0.66,-0.73,-1.84,0.02,-4.43,-2.92
-0.67,-0.73,-1.85,-0.53,-4.61,-3.46
-0.69,-0.76,-1.88,-4.26,-2.72,-9.51
-0.69,-0.72,-1.82,-8.96,-3.45,-16.95
-0.68,-0.68,-1.83,-9.57,-2.54,-15.61
-0.69,-0.68,-1.84,-1.08,-0.77,-5.11
-0.7,-0.71,-1.81,-0.11,0.03,-7.98
-0.7,-0.73,-1.78,-9.87,-0.1,-21.96
-0.74,-0.69,-1.81,-22.63,3.32,-35.2
-0.29,-0.37,-1.73,-45.82,41.41,-14.39
-0.75,-0.62,-1.73,-10.48,-28.17,-0.05
-0.74,-0.62,-1.64,-29.77,-31.71,4.9
-0.73,-0.66,-1.83,-19.52,-19.75,5.2
-0.77,-0.64,-1.78,-7.19,1.31,3.25
-0.84,-0.57,-1.87,22.9,23.89,1.66
-0.99,-0.5,-1.74,119.71,60.7,-66.88
-0.55,-0.64,-1.61,91.2,16.32,-62.06
-0.76,-0.6,-1.7,35.9,15.71,-22.39
-0.75,-0.63,-1.74,3.01,16.63,5.45
-0.82,-0.57,-1.48,-69.14,-30.86,45.3
-0.87,-0.57,-1.9,-14.27,-0.89,-2.06
-0.8,-0.65,-1.69,-10.18,-55.88,111.22
-0.87,-1.13,-1.92,-47.84,-44.41,57.51
-0.67,-0.64,-1.7,-65.35,-13.22,-9.81
-0.73,-0.7,-1.8,-39.53,-3.21,-23.67
-0.67,-0.75,-1.83,-48.87,11.13,-54.55
-0.75,-0.66,-1.72,4.17,-9.19,6.3
-0.75,-0.64,-1.69,20.28,3.38,-7.19
-0.63,-0.71,-1.66,-15.43,-14.68,-0.23
-0.78,-0.64,-1.84,-14.27,4.91,9.23
-0.72,-0.63,-1.62,20.46,-0.1,-3.46
-0.66,-0.7,-1.74,-6.33,-4.61,-5.3
-0.84,-0.59,-2.12,6.36,17.54,-0.72
-0.72,-0.52,-1.71,47.5,-24.69,82.66
-0.7,-0.98,-1.82,39.51,-38.24,48.29
-0.65,-0.76,-1.8,5.88,-7.79,1.91
-0.64,-0.72,-1.81,4.96,-10.29,20.52
