accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.68,-0.72,-1.89,1.59,-2.75,-2.32
-0.68,-0.73,-1.89,2.14,-2.38,-1.28
-0.68,-0.73,-1.88,2.87,-2.14,-2.38
-0.67,-0.72,-1.89,2.32,-1.59,-2.5
-0.68,-0.74,-1.89,3.42,-1.1,-3.05
-0.67,-0.71,-1.95,5.19,2.44,-6.59
-0.68,-0.73,-1.86,4.76,-0.19,-5.43
-0.69,-0.71,-1.89,8.12,2.38,-14.41
-0.64,-0.69,-1.9,3.24,1.16,-11.84
-0.71,-0.74,-1.9,3.48,0.67,-10.44
-0.71,-0.72,-1.87,-3.66,0.73,-20.14
-0.73,-0.72,-1.87,-4.64,1.58,-21.85
-0.78,-0.72,-1.88,-10.86,3.29,-35.16
-0.5,-0.51,-1.74,-21.42,27.71,-29.91
-0.75,-0.64,-1.69,-2.75,-14.65,3.97
-0.77,-0.64,-1.72,-33.87,-39.49,11.17
-0.73,-0.62,-1.53,-52.49,-48.83,5.55
-0.88,-0.66,-2.39,-62.56,-50.17,15.56
-0.74,-0.67,-1.73,-26.79,-3.73,12.94
-0.69,-0.67,-1.93,-6.41,2.44,12.76
-0.84,-0.53,-1.98,105.59,21.79,-42.48
-0.65,-0.65,-1.65,122.56,51.82,-75.26
-0.72,-0.69,-1.74,47.98,16.72,-27.71
-0.72,-0.62,-1.63,-29.42,-6.72,20.57
-0.81,-0.58,-1.7,-77.27,-32.11,34.79
-0.84,-0.66,-2.11,-35.52,-28.26,4.82
-0.79,-0.62,-1.85,-14.83,0.12,7.57
-0.7,-0.67,-1.74,29.79,18.31,-8.12
-0.81,-0.55,-1.62,12.03,3.54,-0.0
-0.96,-0.49,-1.79,10.07,-16.79,-15.44
-0.76,-0.65,-1.9,22.65,-19.84,-31.98
-0.65,-0.62,-1.47,-9.09,-20.08,-13.37
-0.93,-0.6,-2.21,-23.68,3.29,0.18
-0.96,-0.52,-1.84,67.26,-5.25,110.78
-0.78,-0.99,-1.89,27.1,-3.97,13.79
-0.75,-0.58,-1.92,-4.15,-3.18,-4.58
-0.7,-0.7,-1.9,-1.22,-2.26,9.34
-0.77,-0.72,-1.96,-9.64,-7.27,9.58
-0.75,-0.68,-1.93,-0.61,-0.67,2.81
-0.79,-0.71,-1.94,1.77,-1.96,6.22
-0.72,-0.69,-1.93,4.03,-0.31,0.3
-0.72,-0.71,-1.94,2.38,0.3,-0.49
-0.72,-0.72,-1.91,1.34,-3.85,-4.76
-0.73,-0.7,-1.91,0.12,-0.74,-8.97
-0.71,-0.68,-1.92,1.28,-2.93,-5.31
-0.73,-0.69,-1.92,1.16,-0.43,-0.61
-0.74,-0.71,-1.92,0.18,-0.67,-0.61
-0.73,-0.69,-1.91,1.16,-2.2,-3.54
