accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.64,-0.76,-1.87,1.24,-2.51,-1.19
-0.64,-0.76,-1.87,0.81,-2.08,-1.31
-0.64,-0.75,-1.86,1.54,-1.41,-2.78
-0.66,-0.77,-1.9,4.96,1.64,-6.68
-0.66,-0.76,-1.92,10.45,3.17,-12.18
-0.65,-0.73,-1.86,9.72,1.77,-15.17
-0.64,-0.77,-1.93,13.87,2.99,-20.54
-0.66,-0.72,-1.84,12.41,2.93,-27.74
-0.69,-0.74,-1.89,23.09,-6.35,-25.79
-0.75,-0.79,-1.82,8.74,-12.88,-66.07
-0.66,-0.61,-1.52,18.94,-23.81,-5.04
-0.69,-0.65,-1.74,-22.63,-30.15,15.41
-0.81,-0.7,-1.97,-81.65,-63.3,41.05
-0.69,-0.72,-1.72,-90.5,-56.46,40.5
-0.62,-0.65,-2.08,-57.3,-60.49,30.0
-0.7,-0.71,-1.81,-7.8,7.99,13.76
-0.79,-0.66,-2.08,31.08,16.9,0.27
-0.72,-0.68,-1.7,113.6,45.1,-62.96
-0.71,-0.69,-1.77,92.24,47.3,-68.15
-0.75,-0.63,-1.73,39.87,4.64,-33.91
-0.63,-0.67,-1.68,-29.16,-45.54,7.42
-0.93,-0.74,-2.43,-42.4,-25.88,21.27
-0.83,-0.66,-1.99,-28.43,-9.65,8.51
-0.56,-0.21,-2.16,13.2,17.7,65.95
-0.76,-0.92,-1.84,53.12,-8.12,119.9
-0.67,-1.03,-1.9,14.18,-9.46,13.15
-0.66,-0.78,-1.99,-22.02,8.66,-28.66
-0.66,-0.68,-1.89,-21.16,-1.9,-11.26
-0.68,-0.72,-1.92,-2.0,-1.1,0.46
-0.7,-0.77,-1.95,1.18,0.61,3.33
-0.69,-0.74,-1.92,1.79,1.77,-4.97
-0.66,-0.73,-1.93,1.48,-1.22,-1.98
-0.67,-0.75,-1.92,0.08,0.24,3.57
-0.67,-0.75,-1.9,1.24,0.24,1.31
-0.67,-0.74,-1.92,3.07,-1.96,1.01
-0.68,-0.75,-1.93,2.4,-1.22,1.37
