accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.64,-0.72,-1.83,1.21,-2.9,-3.56
-0.66,-0.73,-1.84,2.06,-2.35,-3.74
-0.66,-0.74,-1.86,1.94,-1.62,-4.96
-0.66,-0.73,-1.83,5.3,-0.28,-4.66
-0.68,-0.73,-1.83,7.55,0.21,-6.49
-0.7,-0.74,-1.84,9.69,4.48,-12.04
-0.69,-0.73,-1.87,14.88,6.07,-23.39
-0.72,-0.75,-1.81,12.32,3.99,-29.19
-0.69,-0.69,-1.82,9.69,9.73,-42.74
-0.75,-0.62,-1.78,6.21,29.39,-11.92
-0.73,-0.71,-1.82,9.26,19.13,-12.77
-0.74,-0.65,-1.81,7.25,17.0,-7.83
-0.74,-0.68,-1.76,3.22,24.26,-13.02
-0.72,-0.67,-1.8,2.12,-3.7,-1.79
-0.72,-0.67,-1.78,6.64,-11.02,-3.68
-0.61,-0.63,-1.4,-32.3,-38.49,15.79
-0.61,-0.67,-1.72,-60.13,-30.12,26.35
-0.82,-0.63,-2.0,-19.12,-10.59,7.86
-0.69,-0.67,-1.76,-2.27,-3.21,-0.75
-0.99,-0.54,-2.23,65.72,-8.33,-30.05
-0.58,-0.66,-1.72,61.45,11.87,-50.68
-0.63,-0.72,-1.71,14.57,-12.91,-8.56
-0.63,-0.66,-1.68,-52.99,-44.53,27.88
-0.78,-0.66,-1.87,-76.92,-30.8,35.57
-0.72,-0.67,-1.77,-0.32,-0.4,1.51
-0.85,-0.57,-1.84,62.55,3.87,-40.24
-0.61,-0.74,-1.7,24.1,-13.4,-20.22
-0.6,-0.67,-1.59,-42.62,-39.28,12.37
-0.66,-0.7,-1.92,-44.2,-30.49,18.9
-0.77,-0.65,-1.87,-1.48,-0.89,-2.28
-0.79,-0.61,-1.8,-7.83,7.05,-9.11
-0.95,-0.56,-1.74,30.99,-49.41,50.21
-0.73,-0.69,-1.78,41.37,-28.54,88.24
-0.74,-0.92,-1.85,37.65,-14.32,51.31
-0.65,-0.83,-1.88,13.05,-0.64,0.9
-0.64,-0.79,-1.9,12.62,1.55,-7.16
-0.62,-0.78,-1.87,6.64,-2.35,-3.56
-0.63,-0.78,-1.9,7.13,-1.25,-1.42
-0.6,-0.77,-1.89,10.91,0.52,-2.58
-0.62,-0.8,-1.9,11.4,-1.5,3.58
-0.62,-0.82,-1.9,16.34,2.47,-2.34
-0.63,-0.81,-1.89,6.15,-2.48,-2.76
-0.6,-0.8,-1.91,11.22,1.61,-5.88
-0.62,-0.81,-1.9,2.55,-2.35,-4.72
-0.62,-0.79,-1.89,3.4,-2.17,-6.67
-0.63,-0.81,-1.92,1.02,-2.23,-4.17
-0.61,-0.78,-1.88,1.51,-1.32,-3.01
-0.62,-0.8,-1.92,1.45,-3.21,-0.26
-0.61,-0.79,-1.9,2.24,-1.62,-2.4
-0.62,-0.8,-1.9,2.98,-2.17,-0.93
-0.61,-0.8,-1.9,2.43,-2.6,-0.99
