accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.16,-0.65,1.19,3.11,-3.3,-0.4
-0.15,-0.66,1.18,3.24,-3.85,1.13
-0.15,-0.67,1.17,4.58,-3.67,1.19
-0.17,-0.64,1.17,5.98,0.79,5.03
-0.16,-0.66,1.16,9.83,7.44,4.55
-0.16,-0.63,1.16,10.5,5.61,7.11
-0.19,-0.66,1.17,9.1,11.41,10.1
-0.19,-0.63,1.17,9.95,7.87,8.94
-0.17,-0.62,1.16,1.77,-1.59,9.06
-0.17,-0.65,1.14,2.81,-4.34,3.51
-0.19,-0.61,1.16,5.86,-3.12,3.75
-0.14,-0.65,1.13,4.33,-7.33,4.36
-0.17,-0.62,1.14,13.61,-3.85,6.62
-0.16,-0.61,1.14,7.51,-5.92,8.64
-0.13,-0.64,1.11,17.03,-3.06,12.91
-0.14,-0.57,1.13,12.7,-7.21,6.32
-0.12,-0.61,1.09,8.18,-6.47,9.8
-0.1,-0.6,1.07,7.14,-6.47,3.81
-0.13,-0.51,1.06,0.37,-5.86,6.99
-0.15,-0.59,1.12,2.32,-20.39,7.23
-0.37,-0.59,1.15,-0.43,-36.2,-3.14
0.08,-0.61,1.1,-20.14,-38.58,-51.85
-0.23,-0.65,1.19,-28.44,-13.25,-63.87
-0.14,-0.62,1.14,-1.77,1.58,-8.88
-0.14,-0.61,1.13,-3.84,10.19,-7.17
0.1,-0.44,0.9,29.66,-20.33,51.79
-0.35,-0.66,1.26,41.57,-16.0,53.01
-0.09,-0.59,1.1,7.02,-22.83,7.9
-0.17,-0.56,1.09,-21.48,-21.98,-34.33
0.1,-0.56,1.03,-21.18,-38.15,-51.54
-0.16,-0.56,1.08,-12.33,-32.66,-41.23
0.09,-0.61,1.08,0.37,-13.92,-9.0
-0.03,-0.52,0.98,25.09,-0.55,29.88
-0.14,-0.56,1.02,44.37,-21.12,45.13
-0.05,-0.6,1.12,27.83,-52.01,15.23
0.02,-0.51,0.96,-20.08,-34.06,-45.81
0.34,-0.32,1.39,-16.78,-3.18,-6.26
-0.1,-0.64,0.97,-58.17,-13.8,44.52
0.09,-0.76,1.03,-26.18,-9.22,18.77
0.1,-0.6,1.06,-17.33,-2.75,4.18
0.08,-0.69,1.11,-13.06,-9.34,4.61
0.09,-0.66,1.07,1.47,-5.31,-1.8
0.1,-0.64,1.12,1.71,-3.73,-4.98
0.09,-0.64,1.11,1.65,-4.15,-2.59
0.08,-0.66,1.11,2.81,-3.36,-4.0
0.11,-0.63,1.11,2.38,-2.57,-4.06
0.07,-0.62,1.11,-2.38,-2.32,0.52
0.07,-0.67,1.12,0.49,-2.08,-0.21
0.06,-0.63,1.13,-0.43,-2.26,-1.56
0.07,-0.65,1.12,-0.43,-1.53,-0.82
0.06,-0.65,1.12,1.59,-0.68,-3.14
0.05,-0.64,1.12,0.37,-1.9,-1.62
0.07,-0.65,1.1,0.49,-3.06,-2.05
0.07,-0.64,1.11,0.92,-1.9,-1.62
0.06,-0.65,1.12,0.06,-3.61,0.64
0.05,-0.65,1.12,1.04,-3.67,-0.89
0.07,-0.66,1.11,1.04,-2.45,0.21
0.06,-0.66,1.12,2.14,-2.57,-0.52
0.04,-0.65,1.13,2.38,-1.65,-2.29
