accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.21,-0.7,1.21,4.96,-2.73,-0.78
-0.24,-0.69,1.21,11.19,-2.0,-1.63
-0.2,-0.67,1.2,7.1,-5.54,-3.4
-0.25,-0.72,1.19,19.61,-7.86,-12.13
-0.22,-0.62,1.19,15.46,-7.25,-16.28
-0.32,-0.73,1.16,20.59,-12.01,-24.28
-0.04,-0.36,0.92,-4.32,-23.79,-16.34
-0.19,-0.69,1.24,-15.85,-14.7,-30.26
-0.19,-0.59,1.11,-13.04,4.53,-16.16
-0.2,-0.61,1.15,1.48,7.4,15.03
-0.02,-0.42,0.88,51.41,-21.78,73.5
-0.37,-0.64,1.22,77.35,-62.79,53.79
-0.15,-0.66,1.24,24.13,-62.06,-4.14
0.09,-0.68,1.04,-75.0,-44.6,-91.05
-0.11,-0.66,1.11,-49.6,19.67,-37.4
-0.11,-0.5,0.99,-14.81,35.84,-1.33
-0.25,-0.56,1.06,38.65,-13.96,49.09
-0.25,-0.52,1.08,47.2,-36.91,17.84
0.07,-0.67,1.43,-4.26,-25.99,-44.05
-0.05,-0.56,1.01,-5.84,17.04,-22.63
-0.26,-0.5,1.1,-52.29,-4.99,53.66
-0.08,-0.84,1.09,-27.2,-14.27,43.84
-0.11,-0.73,1.12,10.45,3.67,-1.94
-0.15,-0.59,1.18,0.93,-0.11,0.38
-0.12,-0.69,1.16,-2.73,-4.87,2.39
-0.1,-0.67,1.11,7.83,-0.42,-3.34
-0.12,-0.65,1.16,7.59,0.07,-1.76
-0.13,-0.66,1.15,3.98,-0.78,-2.98
-0.12,-0.65,1.15,6.06,0.13,-3.16
-0.12,-0.64,1.15,4.53,-0.35,-1.63
-0.11,-0.65,1.15,2.21,0.44,-2.98
-0.13,-0.65,1.14,1.85,-1.39,-2.06
-0.14,-0.65,1.15,3.43,0.13,-2.73
