accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.29,-0.68,1.25,-0.59,-5.44,-2.55
-0.28,-0.69,1.24,1.3,-4.09,-0.78
-0.28,-0.69,1.25,1.97,-4.46,-1.21
-0.27,-0.69,1.23,3.86,1.77,-0.29
-0.31,-0.69,1.24,6.55,0.67,1.54
-0.26,-0.68,1.23,8.32,2.86,1.84
-0.3,-0.7,1.25,14.05,4.76,2.82
-0.26,-0.66,1.23,23.33,4.76,-3.77
-0.34,-0.63,1.25,17.96,1.4,3.25
-0.3,-0.67,1.19,18.51,-2.08,-1.88
-0.31,-0.65,1.17,19.3,-1.1,-8.71
-0.24,-0.47,1.16,-7.06,-33.76,-10.91
-0.4,-0.61,1.21,-0.47,-18.99,-0.72
-0.37,-0.6,1.16,-13.29,-39.68,-23.91
-0.57,-0.57,1.17,-18.97,-29.48,-40.15
-0.15,-0.69,1.2,-43.75,4.7,-67.25
-0.25,-0.6,1.16,-12.01,15.56,-17.32
-0.23,-0.61,1.14,-10.12,6.59,-5.72
-0.24,-0.35,0.81,105.79,-41.2,106.64
-0.23,-0.69,1.32,105.85,-29.61,82.84
-0.34,-0.6,1.19,15.15,-2.2,2.94
-0.35,-0.61,1.24,-61.57,-21.12,-48.57
-0.07,-0.42,0.84,-97.4,-37.36,-89.04
-0.22,-0.52,1.04,-41.24,-9.59,-61.14
-0.16,-0.62,1.1,-6.64,-9.77,-24.34
-0.25,-0.6,1.11,21.81,-5.86,7.52
-0.22,-0.62,1.17,34.38,12.69,40.42
-0.33,-0.72,1.31,14.79,-1.23,25.1
-0.37,-0.59,1.15,4.78,3.47,12.22
-0.18,-0.44,0.9,-9.75,21.66,-25.44
-0.57,-0.57,1.08,-87.39,-20.82,74.78
-0.19,-1.1,1.16,-25.56,-25.33,28.64
-0.22,-0.7,1.18,19.67,-0.68,-30.38
-0.22,-0.62,1.23,1.42,-6.54,-18.3
-0.22,-0.68,1.2,-0.53,-6.05,-3.59
-0.24,-0.68,1.21,1.97,-4.34,-4.63
-0.24,-0.65,1.22,-2.0,-5.25,-3.16
-0.22,-0.68,1.19,-3.52,-5.74,0.81
-0.24,-0.68,1.23,2.34,-3.67,0.01
-0.23,-0.69,1.21,-0.29,-5.25,-0.41
