accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.29,-0.7,1.25,-3.39,-21.73,2.52
-0.29,-0.7,1.26,-3.69,-21.79,1.85
-0.3,-0.71,1.26,0.15,-20.63,-0.78
-0.3,-0.7,1.25,3.08,-18.49,-3.52
-0.32,-0.7,1.27,9.12,-19.35,-4.81
-0.3,-0.69,1.23,14.92,-15.75,-12.8
-0.33,-0.57,1.37,-1.44,-27.1,-2.79
-0.33,-0.67,1.25,-1.07,-30.7,3.13
-0.52,-0.69,1.37,-6.44,-19.83,-1.39
-0.3,-0.71,1.28,-14.92,-28.32,-13.11
-0.17,-0.64,1.16,-21.64,-20.14,-14.39
-0.25,-0.68,1.23,-20.6,10.62,-1.21
-0.23,-0.56,1.08,7.35,3.6,39.38
-0.5,-0.55,1.11,82.85,-61.09,83.33
-0.44,-0.66,1.32,31.46,-62.74,15.34
-0.32,-0.74,1.34,-76.57,-60.67,-74.39
-0.19,-0.57,1.04,-49.41,-26.37,-42.59
-0.3,-0.66,1.21,-9.07,-24.11,-1.02
-0.08,-0.6,0.99,87.8,-35.58,66.06
-0.29,-0.74,1.22,107.08,-25.69,72.1
-0.21,-0.62,1.16,53.43,-48.22,30.04
-0.24,-0.59,1.06,11.44,-52.67,10.51
0.04,-0.58,0.77,-39.09,-54.62,-17.38
0.18,-0.65,0.76,-19.32,-48.58,-14.45
-0.16,-0.6,1.03,-13.03,-14.28,-4.2
-0.15,-0.6,1.02,-2.05,-6.28,0.56
-0.23,-0.28,1.01,-88.59,-4.15,91.57
0.03,-1.05,1.08,-56.12,-38.33,43.9
-0.1,-0.71,1.12,6.93,-20.57,-19.7
-0.09,-0.61,1.16,-5.04,-19.9,-8.65
-0.1,-0.73,1.13,-6.07,-22.89,-3.34
-0.1,-0.66,1.13,-3.76,-18.74,-5.29
-0.12,-0.68,1.16,-9.25,-22.95,1.24
-0.09,-0.7,1.12,-6.81,-21.91,2.03
