accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.47,-0.69,1.37,1.56,-3.73,-0.81
-0.47,-0.71,1.36,2.05,-3.67,-0.93
-0.47,-0.7,1.37,2.17,-2.2,-1.6
-0.45,-0.77,1.27,11.2,5.49,-4.17
-0.52,-0.69,1.39,35.55,17.33,-8.56
-0.48,-0.59,1.35,21.58,5.06,-6.91
-0.51,-0.65,1.34,4.12,-3.36,3.04
-0.49,-0.66,1.33,1.25,-6.96,-1.24
-0.5,-0.66,1.31,2.11,-4.58,-0.99
-0.51,-0.69,1.27,8.03,-4.89,-8.62
-0.49,-0.65,1.29,24.08,-4.77,-15.82
-0.54,-0.59,1.23,3.69,-14.35,6.03
-0.5,-0.65,1.31,7.78,-20.45,3.65
-0.66,-0.64,1.4,-16.39,-39.98,-18.14
-0.44,-0.75,1.5,-80.66,-48.95,-58.37
-0.45,-0.57,1.15,-47.52,16.66,-33.4
-0.61,-0.54,1.25,-10.41,-2.75,-9.05
-0.71,-0.57,1.35,41.11,-28.02,17.38
-0.59,-0.69,1.45,26.09,-38.46,-0.87
-0.34,-0.69,1.26,0.52,-9.95,-5.39
-0.42,-0.62,1.23,-8.27,2.01,4.56
-0.57,-0.54,1.13,73.94,-2.32,49.24
-0.57,-0.64,1.41,49.35,-23.99,20.55
-0.32,-0.66,1.11,-37.32,-42.61,-37.06
-0.38,-0.56,1.0,-4.91,30.76,-12.83
-0.55,-0.67,1.24,-46.97,1.95,65.11
-0.47,-0.86,1.26,-4.79,-1.35,13.84
-0.43,-0.62,1.31,2.59,-2.57,-9.72
-0.45,-0.67,1.32,-9.06,-6.29,3.4
-0.46,-0.69,1.3,-1.74,-3.91,-2.58
-0.45,-0.66,1.32,-5.4,-6.29,0.78
-0.47,-0.69,1.33,-6.19,-2.51,1.27
-0.43,-0.68,1.32,-10.96,-2.08,-0.08
-0.43,-0.69,1.31,-10.04,-3.73,0.35
-0.45,-0.69,1.34,-6.19,-2.75,0.11
-0.44,-0.71,1.33,-4.36,-3.54,1.14
-0.45,-0.7,1.35,-4.12,-4.52,-1.6
-0.45,-0.7,1.35,-0.88,-4.58,-0.14
