accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.41,-0.75,1.37,2.27,-3.38,-1.01
-0.4,-0.73,1.36,3.5,-2.95,-0.4
-0.4,-0.74,1.37,4.84,-3.86,-1.74
-0.42,-0.74,1.36,5.02,-3.62,-1.56
-0.41,-0.73,1.35,7.83,-1.97,-2.47
-0.41,-0.73,1.35,6.85,-2.03,-1.74
-0.4,-0.73,1.33,14.54,0.71,-6.87
-0.43,-0.68,1.36,13.99,-0.57,-4.91
-0.4,-0.71,1.31,13.2,4.92,-0.03
-0.41,-0.7,1.26,22.66,6.45,0.52
-0.44,-0.71,1.3,28.21,-0.57,-9.13
-0.21,-0.4,2.02,19.67,-32.98,-12.3
-0.52,-0.65,1.34,-1.57,-14.91,0.03
-0.5,-0.68,1.33,-29.65,-48.24,-26.83
-0.53,-0.65,1.45,-42.59,1.08,-38.42
-0.12,-0.64,0.98,-59.68,-11.37,-63.75
-0.38,-0.72,1.34,-29.71,11.76,-28.35
-0.33,-0.62,1.18,-22.14,42.77,-3.69
-0.64,-0.52,1.24,45.43,-3.56,48.37
-0.36,-0.62,1.18,69.6,-43.84,30.0
-0.43,-0.72,1.46,52.57,2.36,32.07
-0.62,-0.71,1.42,39.93,-15.77,27.8
-0.61,-0.7,1.53,4.29,20.43,18.83
-0.6,-0.59,1.34,-40.69,-9.91,-16.45
-0.38,-0.49,0.94,-16.1,23.78,-22.49
-0.6,-0.73,1.29,-73.71,-21.56,74.0
-0.38,-1.14,1.29,-11.03,-11.43,8.94
-0.35,-0.67,1.34,17.9,-3.99,-38.36
-0.37,-0.65,1.36,0.5,-6.67,-11.08
-0.4,-0.74,1.35,-5.23,-8.62,2.17
-0.4,-0.73,1.36,-1.45,-2.77,-2.35
-0.38,-0.73,1.31,-4.62,-4.54,2.1
-0.41,-0.75,1.35,-3.46,-3.19,-1.44
-0.41,-0.73,1.36,2.46,-1.79,-0.82
-0.38,-0.73,1.34,0.87,-2.83,-0.4
-0.38,-0.74,1.34,-1.08,-3.99,0.82
