accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.4,-0.76,1.41,-0.37,-4.49,-1.3
-0.4,-0.78,1.4,0.31,-3.82,-1.73
-0.41,-0.77,1.41,1.47,-3.33,-1.6
-0.4,-0.77,1.41,4.27,-1.01,-0.32
-0.39,-0.77,1.37,6.71,-3.03,1.81
-0.36,-0.77,1.43,15.26,-0.46,2.24
-0.41,-0.77,1.41,17.15,1.37,-5.02
-0.43,-0.78,1.34,22.83,4.42,-5.45
-0.44,-0.75,1.38,38.03,7.23,-13.44
-0.5,-0.71,1.37,7.14,-9.07,4.99
-0.51,-0.71,1.45,13.12,-23.72,7.19
-0.55,-0.72,1.43,-52.55,-41.48,-36.58
-0.42,-0.81,1.48,-95.21,-50.27,-82.84
-0.44,-0.72,1.33,-58.65,14.92,-51.04
-0.4,-0.67,1.29,-22.09,22.91,-19.18
-0.25,-0.64,1.08,35.28,-0.64,39.96
-0.9,-0.82,1.92,165.28,-36.53,88.36
-0.51,-0.8,1.55,53.89,-18.71,15.97
-0.6,-0.72,1.62,-35.4,-36.66,-38.29
-0.24,-0.7,1.16,-37.9,-11.26,-33.65
-0.31,-0.54,1.39,-65.43,-0.95,4.74
-0.43,-0.86,1.4,-27.28,20.41,28.67
-0.38,-0.81,1.18,-9.7,14.61,-7.83
-0.45,-0.72,1.47,8.24,14.8,-10.39
-0.54,-0.83,1.29,26.18,22.73,-15.64
-0.6,-0.68,1.38,-3.42,-19.93,-6.79
-0.49,-0.74,1.41,1.65,-40.07,-1.24
-0.77,-0.58,1.53,-15.01,-19.57,-30.47
-0.09,-0.88,1.34,-6.47,-31.83,-17.11
-0.5,-0.72,1.38,0.79,-4.73,-2.58
-0.46,-0.73,1.39,0.73,6.5,-3.01
-0.47,-0.72,1.39,-8.0,15.35,-7.28
-0.44,-0.29,1.51,-57.56,-5.47,60.35
-0.44,-0.97,1.4,-55.72,-33.18,77.38
-0.39,-1.06,1.37,11.66,-4.55,5.78
-0.41,-0.74,1.49,23.56,9.06,-21.56
-0.4,-0.74,1.46,6.35,-0.64,1.39
-0.38,-0.83,1.4,5.25,-2.6,-2.76
-0.38,-0.79,1.42,9.16,-2.05,-9.42
-0.42,-0.76,1.47,1.89,-4.43,-6.61
-0.41,-0.78,1.44,0.12,-3.51,1.08
-0.41,-0.8,1.42,-2.01,-4.73,-2.21
-0.41,-0.78,1.45,1.77,-1.68,-0.44
-0.41,-0.79,1.43,0.06,-3.76,-1.48
