accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.38,-0.74,1.38,1.94,-2.52,-1.53
-0.37,-0.75,1.35,2.43,-2.64,-2.56
-0.38,-0.74,1.36,2.18,-2.46,-2.87
-0.37,-0.75,1.35,2.37,-2.52,-1.16
-0.38,-0.74,1.35,5.48,1.87,1.1
-0.36,-0.75,1.3,6.82,1.32,1.46
-0.35,-0.74,1.35,11.09,9.5,4.94
-0.41,-0.74,1.4,20.86,14.75,9.28
-0.52,-0.74,1.35,19.94,-6.55,11.78
-0.37,-0.73,1.31,16.71,5.23,7.02
-0.37,-0.71,1.31,12.93,0.53,1.46
-0.37,-0.72,1.31,13.96,2.85,-0.61
-0.37,-0.72,1.27,19.58,5.29,-2.69
-0.41,-0.69,1.23,25.5,9.5,-6.47
-0.42,-0.68,1.29,9.75,-3.31,8.54
-0.54,-0.61,1.31,11.77,-17.35,10.56
-0.35,-0.67,1.34,-38.41,-43.66,-29.85
0.05,-0.66,0.96,-44.51,-20.83,-35.89
-0.45,-0.72,1.39,-6.73,-3.62,-6.71
-0.05,-0.85,1.12,-18.51,3.64,-17.09
-0.51,-0.69,1.25,80.67,-10.39,42.3
-0.43,-0.77,1.49,22.57,-25.16,4.64
-0.46,-0.78,1.35,-53.54,18.6,-42.42
-0.33,-0.72,1.23,-42.98,-18.76,-38.7
-0.19,-0.55,0.95,-19.0,-3.01,-18.43
-0.38,-0.69,1.3,-10.08,1.63,-7.75
-0.4,-0.59,1.11,78.78,10.91,47.79
-0.5,-0.67,1.35,40.94,-6.98,14.71
-0.46,-0.72,1.47,-4.9,-26.02,-16.85
-0.21,-0.72,1.11,-33.89,-1.24,-33.27
-0.2,-0.6,1.28,-8.13,15.73,-14.95
-0.42,-0.71,1.29,-32.67,-10.09,35.46
-0.29,-0.81,1.21,-11.31,-7.04,7.75
-0.35,-0.68,1.29,-5.08,-2.09,4.7
-0.37,-0.74,1.3,-4.16,-1.85,9.03
-0.33,-0.73,1.3,0.72,-1.3,1.22
-0.33,-0.72,1.27,-0.44,0.47,0.98
-0.33,-0.73,1.29,-2.94,2.55,1.71
-0.3,-0.72,1.31,-5.39,-1.48,0.24
-0.36,-0.73,1.31,-3.0,0.78,4.52
-0.34,-0.74,1.33,2.85,0.04,1.71
-0.34,-0.72,1.31,-1.23,-3.99,-0.18
-0.34,-0.74,1.33,1.94,-3.19,1.83
-0.32,-0.73,1.3,0.05,-3.68,-1.59
