accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.05,-0.69,1.2,3.25,-2.12,-2.79
-0.04,-0.7,1.19,1.97,-3.28,-2.12
-0.04,-0.7,1.19,4.17,-3.71,-2.18
-0.04,-0.7,1.19,3.37,-2.73,-1.33
-0.05,-0.7,1.2,2.82,-3.04,-2.12
-0.04,-0.7,1.19,3.68,-2.67,-2.06
-0.04,-0.69,1.19,4.47,-1.57,-0.78
-0.02,-0.69,1.18,5.57,-0.42,-1.63
-0.06,-0.67,1.19,5.02,2.39,0.38
-0.04,-0.71,1.17,5.33,-0.05,0.14
-0.08,-0.68,1.17,7.34,5.63,0.99
-0.04,-0.71,1.16,7.65,2.82,0.14
-0.08,-0.67,1.18,5.57,-1.7,-7.86
-0.08,-0.7,1.18,5.51,-0.35,-2.31
-0.08,-0.73,1.17,12.16,1.42,-17.32
-0.14,-0.7,1.19,-4.68,-2.98,-7.01
0.06,-0.57,1.08,-4.93,-7.31,-13.11
0.09,-0.48,0.98,-2.67,2.21,-3.4
-0.12,-0.71,1.18,95.72,-132.92,108.72
0.03,-0.71,1.27,65.32,-101.49,47.19
0.16,-0.63,1.06,19.85,-45.7,16.19
-0.01,-0.67,1.17,-31.48,-17.75,-40.76
0.4,-0.51,0.76,-77.19,-17.75,-102.1
0.01,-0.67,1.14,-15.49,3.19,-19.64
0.12,-0.63,1.09,-15.36,18.26,-23.24
0.07,-0.47,0.99,8.87,14.6,25.16
-0.16,-0.63,1.16,28.09,-24.34,5.81
0.13,-0.67,1.15,-8.89,-26.97,-52.97
0.1,-0.62,1.07,2.15,7.21,-21.17
0.09,-0.65,1.08,-26.84,-5.66,15.52
0.1,-0.73,1.1,-12.31,-5.85,12.34
0.07,-0.66,1.13,-1.26,2.58,8.19
0.08,-0.65,1.15,-5.48,0.5,11.12
0.1,-0.71,1.12,-1.81,-2.0,4.77
0.09,-0.66,1.14,1.91,4.22,-2.43
0.06,-0.68,1.15,-1.39,-0.96,-1.57
0.09,-0.68,1.15,4.84,1.35,-2.06
