accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.13,-0.71,1.23,-0.66,-4.06,-1.57
-0.13,-0.71,1.24,0.63,-3.82,-0.53
-0.11,-0.72,1.22,1.66,-3.45,-0.05
-0.13,-0.71,1.23,3.43,-1.99,0.26
-0.13,-0.72,1.23,4.29,-1.99,1.66
-0.12,-0.73,1.21,7.16,3.02,0.75
-0.14,-0.69,1.22,2.34,-1.74,0.2
-0.13,-0.72,1.22,1.05,-3.76,-1.76
-0.13,-0.7,1.23,-0.11,-5.1,-1.02
-0.12,-0.7,1.23,-1.02,-4.25,-1.21
-0.13,-0.71,1.24,-3.34,-5.89,-1.69
-0.11,-0.71,1.22,-0.41,-4.18,-0.66
-0.13,-0.72,1.22,2.27,-3.51,0.56
-0.12,-0.71,1.22,2.88,-2.41,2.15
-0.14,-0.7,1.24,2.09,-3.39,1.05
-0.12,-0.7,1.23,-0.04,-2.66,-0.11
-0.12,-0.72,1.22,0.2,-3.45,0.26
-0.12,-0.71,1.22,1.18,-3.27,-0.66
-0.13,-0.71,1.23,1.79,-3.39,0.44
-0.12,-0.71,1.22,-0.47,-3.94,0.5
-0.12,-0.71,1.22,0.26,-3.51,0.38
-0.12,-0.71,1.23,-0.59,-3.45,-0.23
-0.12,-0.72,1.23,0.81,-3.7,-0.35
-0.13,-0.71,1.23,0.63,-4.0,-1.02
-0.12,-0.72,1.22,1.66,-3.94,-0.9
-0.13,-0.72,1.22,2.64,-3.27,-1.82
-0.11,-0.72,1.22,4.29,-1.8,-0.72
-0.13,-0.71,1.23,6.67,-0.83,-0.6
-0.13,-0.71,1.21,6.67,-0.89,-0.9
-0.1,-0.68,1.24,10.09,-3.45,2.27
-0.13,-0.69,1.2,-0.11,-2.54,0.62
-0.13,-0.71,1.23,1.3,-5.65,3.86
-0.17,-0.72,1.24,-2.36,-10.65,-2.79
-0.15,-0.71,1.22,-7.49,-6.57,-10.79
-0.12,-0.69,1.19,2.88,-11.26,1.6
-0.04,-0.47,0.91,65.32,-24.33,61.84
-0.12,-0.8,1.35,45.3,-30.92,38.34
-0.06,-0.66,1.14,22.54,-37.02,18.08
0.08,-0.65,1.11,-44.11,-36.47,-56.32
0.07,-0.6,1.03,2.21,-12.67,-2.92
-0.06,-0.54,1.02,3.19,9.0,-20.07
-0.02,-0.7,1.23,41.89,-32.44,29.86
-0.25,-0.73,1.24,6.06,8.39,-1.45
-0.22,-0.74,1.32,-32.09,-14.8,-48.39
0.04,-0.65,1.11,-29.22,-7.05,-31.17
0.05,-0.58,1.03,-6.82,8.33,-11.03
0.07,-0.6,1.05,-8.77,17.06,0.01
-0.3,-0.72,1.3,25.65,-19.26,20.77
-0.01,-0.74,1.19,-3.95,-17.19,-42.77
-0.15,-0.71,1.22,-2.67,1.43,-21.16
0.04,-0.64,1.12,-6.09,10.95,-16.34
-0.02,-0.6,1.21,-42.59,9.49,23.57
-0.21,-0.74,1.27,-37.7,-4.86,31.45
-0.04,-0.82,1.18,-13.23,-10.53,12.89
-0.1,-0.74,1.22,-0.04,-0.71,-1.33
-0.09,-0.72,1.25,1.97,-1.93,0.44
-0.05,-0.74,1.21,-1.02,-4.06,1.6
-0.09,-0.74,1.25,3.74,-0.28,-1.57
