accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.16,-0.74,1.25,0.53,-4.09,-1.15
-0.13,-0.73,1.25,0.53,-3.97,-0.66
-0.14,-0.73,1.25,1.94,-3.3,-0.96
-0.12,-0.73,1.23,4.99,-1.41,2.58
-0.18,-0.72,1.24,17.5,2.19,12.34
-0.17,-0.71,1.27,16.95,3.9,7.03
-0.12,-0.73,1.22,6.15,0.42,7.7
-0.14,-0.72,1.22,5.84,1.52,9.6
-0.1,-0.73,1.23,2.18,-1.22,8.13
-0.19,-0.72,1.25,0.11,-7.69,4.96
-0.25,-0.72,1.26,-10.76,-25.46,-12.62
-0.03,-0.63,1.1,-21.56,-21.43,-49.55
-0.06,-0.56,1.05,-2.09,-26.13,-29.22
0.1,-0.73,1.17,38.62,-16.54,17.53
-0.02,-0.72,1.2,55.04,-34.61,62.58
-0.26,-0.68,1.24,7.31,-0.98,6.18
-0.09,-0.6,1.08,-40.05,-42.18,-47.84
0.47,-0.59,1.08,-42.86,-20.15,-66.82
0.32,-0.69,1.05,-26.02,-22.89,-50.46
-0.07,-0.69,1.18,-7.58,15.13,-9.51
-0.2,-0.6,1.08,25.44,23.49,48.84
-0.24,-0.72,1.29,57.36,-28.08,44.14
-0.27,-0.73,1.38,11.09,-54.94,-9.26
0.17,-0.69,1.06,-17.53,-19.6,-43.87
-0.05,-0.61,1.13,-52.87,-4.03,25.04
-0.07,-0.8,1.17,-46.22,-5.13,42.56
0.02,-0.81,1.18,-11.25,1.52,7.7
-0.03,-0.73,1.23,-6.48,0.36,2.39
-0.03,-0.77,1.23,-1.36,-4.7,6.36
-0.03,-0.76,1.2,1.51,-4.22,1.85
-0.02,-0.73,1.22,5.05,-2.75,1.6
0.01,-0.74,1.22,1.57,0.12,3.92
-0.04,-0.75,1.23,3.4,1.83,0.5
