accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.13,-0.67,1.17,-2.56,-6.9,3.52
-0.12,-0.66,1.18,-1.65,-3.3,0.23
-0.13,-0.68,1.17,-4.15,-8.3,3.65
-0.13,-0.68,1.17,0.67,-2.38,-1.73
-0.13,-0.67,1.17,-2.32,-5.19,0.47
-0.13,-0.69,1.18,-2.93,-4.83,0.96
-0.12,-0.68,1.18,-6.29,-3.36,0.78
-0.1,-0.7,1.16,-6.47,-3.97,0.65
-0.12,-0.7,1.19,-0.85,-3.12,-4.17
-0.1,-0.69,1.18,0.12,-4.15,-2.82
-0.13,-0.7,1.18,4.76,-2.69,-2.21
-0.12,-0.68,1.18,2.69,-1.9,-2.7
-0.12,-0.69,1.17,0.92,-4.03,-2.46
-0.12,-0.68,1.18,-3.23,-4.22,-3.07
-0.13,-0.69,1.18,-0.55,-2.81,-1.48
-0.12,-0.7,1.17,-4.21,-3.85,-2.58
-0.12,-0.7,1.18,1.65,-2.2,-2.95
-0.12,-0.69,1.18,0.37,-3.18,-1.66
-0.13,-0.7,1.18,0.37,-4.09,-2.58
-0.12,-0.69,1.18,1.53,-2.87,-2.76
-0.13,-0.69,1.18,-0.3,-3.97,-2.64
-0.13,-0.68,1.19,2.01,-3.12,-2.28
-0.12,-0.69,1.18,-1.46,-5.01,-1.6
-0.13,-0.69,1.19,1.59,-3.24,-2.46
-0.12,-0.69,1.17,0.92,-4.09,-1.6
-0.13,-0.69,1.19,3.11,-2.69,-2.4
-0.12,-0.68,1.18,3.66,-1.04,-2.95
-0.14,-0.69,1.17,5.74,1.46,-1.18
-0.15,-0.68,1.18,3.36,-0.74,-2.58
-0.14,-0.68,1.18,0.98,-1.29,-3.68
-0.1,-0.68,1.21,-8.12,3.05,-4.9
-0.12,-0.74,1.15,-1.89,15.25,-4.29
-0.16,-0.66,1.21,4.76,28.5,-15.82
-0.24,-0.64,1.24,-8.36,9.33,-13.63
-0.23,-0.52,1.57,8.42,23.92,-41.76
-0.16,-0.54,1.04,-6.41,-6.84,-11.49
-0.41,-0.54,1.13,131.17,-70.44,99.96
-0.43,-0.76,1.55,13.61,-63.05,-26.99
-0.09,-0.77,1.2,-84.9,-45.54,-94.5
-0.19,-0.47,0.93,-16.78,34.72,-14.3
-0.0,-0.48,0.78,103.58,14.22,94.77
-0.14,-0.72,1.14,108.22,4.09,79.33
-0.07,-0.71,1.34,62.68,19.83,52.53
-0.11,-0.59,1.03,-59.2,19.47,-16.56
-0.5,-0.46,1.11,-55.54,-52.25,-44.15
-0.05,-0.62,0.86,-60.36,-10.38,-70.82
-0.02,-0.68,1.17,-68.42,-45.48,-83.39
0.13,-0.57,0.85,-33.93,-2.51,-44.63
0.09,-0.21,1.62,-24.6,19.77,35.44
-0.15,-0.73,1.17,-50.05,-19.05,68.89
-0.14,-0.93,1.17,-3.05,-4.52,25.43
-0.13,-0.72,1.18,22.58,9.58,-20.71
-0.14,-0.64,1.16,9.64,2.93,-10.39
-0.13,-0.69,1.2,-0.49,-2.99,1.57
-0.14,-0.7,1.21,3.17,-1.96,-1.97
-0.11,-0.67,1.15,3.48,-4.52,-1.91
-0.15,-0.69,1.19,1.34,-3.91,-1.42
-0.13,-0.67,1.2,1.04,-4.28,-0.32
