accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.36,-0.72,1.33,-0.21,-2.98,-3.22
-0.36,-0.72,1.34,-0.52,-4.02,-1.88
-0.35,-0.73,1.33,1.43,-3.16,-3.34
-0.36,-0.72,1.33,-1.01,-3.35,-1.94
-0.35,-0.73,1.32,-0.76,-1.45,-2.85
-0.36,-0.72,1.3,-5.58,1.17,-1.27
-0.38,-0.74,1.33,-7.6,1.54,1.66
-0.36,-0.75,1.34,4.24,10.69,-4.32
-0.39,-0.72,1.34,0.76,1.72,-5.3
-0.35,-0.74,1.33,0.34,-1.03,-8.23
-0.4,-0.75,1.36,2.53,12.22,-8.96
-0.45,-0.76,1.29,16.27,18.99,-28.31
-0.43,-0.51,1.16,-19.99,-17.87,-23.3
-0.48,-0.63,1.3,-17.36,-22.39,-21.29
-0.57,-0.71,1.42,-12.85,-25.07,-42.41
-0.16,-0.81,1.34,-10.41,-24.71,-25.5
-0.47,-0.62,1.26,-6.62,4.04,-13.11
-0.11,-0.58,1.08,59.05,12.95,68.56
-0.71,-0.66,1.48,111.72,-3.16,94.5
-0.57,-0.65,1.42,12.48,0.68,5.81
-0.61,-0.57,1.3,-30.55,-35.69,-23.42
-0.41,-0.64,1.22,-13.58,-18.54,-23.91
-0.57,-0.54,1.19,0.7,-17.51,-18.54
-0.43,-0.68,1.38,-26.09,-50.04,-38.19
-0.17,-0.63,1.06,-21.7,-3.89,-30.56
-0.34,-0.55,1.2,-40.44,12.16,64.1
-0.37,-0.78,1.27,-46.17,-2.92,62.57
-0.26,-0.85,1.24,-2.72,-1.39,0.38
-0.28,-0.66,1.24,2.29,-1.88,-21.17
-0.31,-0.65,1.32,-5.04,-8.59,-0.17
-0.28,-0.75,1.28,-6.5,-6.34,5.63
-0.29,-0.72,1.29,-3.27,-5.05,0.32
-0.3,-0.71,1.29,-4.12,-4.63,2.46
-0.28,-0.73,1.28,-2.84,-3.83,0.75
-0.29,-0.72,1.28,-5.89,-4.87,-1.88
-0.29,-0.72,1.3,-12.85,-4.57,-2.24
