accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.1,-0.76,1.24,1.18,-2.08,-2.21
0.1,-0.77,1.24,-0.04,-0.25,-0.44
0.1,-0.77,1.25,0.81,1.28,0.17
0.09,-0.79,1.25,-3.34,2.93,-0.75
0.11,-0.78,1.24,-4.32,-3.91,-2.95
0.08,-0.76,1.25,0.44,-12.21,-2.21
0.09,-0.8,1.24,7.1,-5.86,-4.53
-0.04,0.09,1.92,17.41,-2.32,-7.52
0.16,-0.76,1.23,-21.04,17.03,3.16
0.3,-0.71,1.21,37.98,25.75,45.88
-0.08,-0.84,1.31,9.23,17.33,25.31
0.07,-0.75,1.23,9.66,-56.34,17.07
0.08,-0.74,1.27,8.44,-61.47,-46.16
0.24,-0.75,1.23,16.74,-77.94,-0.93
0.18,-0.77,1.25,-2.24,-19.29,-7.28
0.21,-0.73,1.21,-7.43,6.47,-10.21
0.12,-0.74,1.22,-2.55,-7.33,-5.57
0.18,-0.75,1.23,-14.2,12.14,-2.64
0.14,-0.65,1.15,36.64,-17.21,-0.69
0.18,-0.71,1.21,43.29,-30.4,7.67
0.2,-0.75,1.23,8.93,-1.53,-1.48
0.2,-0.7,1.16,0.26,26.55,-3.56
0.12,-0.64,1.3,-3.34,19.22,4.44
0.15,-0.72,1.19,-19.64,0.55,5.54
0.18,-0.77,1.18,-8.65,12.75,-0.14
0.13,-0.71,1.21,-6.94,17.45,-3.19
0.12,-0.74,1.21,-15.3,14.95,-1.05
0.12,-0.77,1.23,-8.65,11.96,-5.88
0.13,-0.76,1.22,0.14,7.44,-6.3
0.1,-0.74,1.23,1.85,2.56,-4.41
0.1,-0.75,1.23,0.69,-2.08,-3.31
