accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.24,-0.75,1.28,1.8,-0.84,-0.32
-0.22,-0.77,1.27,1.92,-5.6,-0.14
-0.23,-0.75,1.27,1.31,-0.96,-0.63
-0.23,-0.77,1.27,0.58,0.5,-1.3
-0.23,-0.78,1.28,0.58,-6.58,-0.81
-0.23,-0.78,1.29,4.79,-18.79,-2.88
-0.23,-0.75,1.29,2.41,-8.41,-1.91
-0.21,-0.77,1.27,1.56,-7.31,-2.58
-0.21,-0.77,1.27,2.35,-6.34,-4.78
-0.21,-0.83,1.24,2.23,16.06,-16.5
-0.17,-0.78,1.27,-17.79,20.03,9.93
-0.39,-0.61,1.28,-6.44,29.31,37.34
-0.33,-0.71,1.28,60.88,-82.45,34.29
-0.22,-0.82,1.38,40.07,-98.5,-8.87
0.09,-0.76,1.11,-21.94,-40.88,-34.5
-0.18,-0.6,1.05,-41.59,45.48,-15.4
-0.18,-0.72,1.2,-5.89,-5.79,-6.73
-0.21,-0.58,1.07,45.38,-52.6,-10.39
-0.17,-0.82,1.32,66.56,-36.98,3.83
-0.13,-0.76,1.24,10.96,4.77,1.69
-0.15,-0.71,1.19,10.16,19.91,2.61
-0.16,-0.66,1.22,-21.45,1.6,18.42
-0.17,-0.77,1.19,-20.66,4.22,21.77
-0.14,-0.79,1.17,-9.31,5.81,3.59
-0.15,-0.73,1.24,-4.18,16.31,-7.22
-0.17,-0.74,1.26,-3.14,0.93,-1.85
-0.18,-0.76,1.25,-2.71,-1.15,-0.99
-0.17,-0.75,1.25,-1.31,-0.23,-3.07
-0.18,-0.76,1.25,-0.7,-1.39,-2.52
-0.18,-0.75,1.25,0.95,-3.53,-2.34
