accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.22,-0.78,1.28,3.69,-4.72,-1.54
-0.22,-0.76,1.28,3.45,-3.56,-1.66
-0.22,-0.77,1.29,0.46,-3.25,-1.48
-0.21,-0.78,1.27,-0.09,-4.84,-1.18
-0.22,-0.77,1.28,0.09,0.35,-0.2
-0.22,-0.78,1.29,4.91,3.28,1.51
-0.2,-0.79,1.3,1.19,-5.45,0.11
-0.2,-0.81,1.25,3.21,3.89,1.2
-0.23,-0.77,1.28,8.76,37.46,-11.0
-0.32,-0.7,1.22,-3.81,-9.91,-6.0
-0.2,-0.7,1.19,36.35,-67.95,4.38
-0.16,-0.75,1.23,74.98,-66.24,-0.32
-0.16,-0.82,1.32,26.52,-9.11,-4.29
-0.19,-0.74,1.24,27.01,-31.27,-9.11
-0.14,-0.67,1.21,-47.39,23.54,-4.17
-0.24,-0.65,1.16,-11.69,-9.36,-8.87
-0.17,-0.62,1.09,-8.57,-32.43,-38.77
-0.19,-0.75,1.23,13.83,6.45,-7.22
-0.12,-0.73,1.2,10.1,30.13,-3.68
-0.3,-0.79,1.31,13.15,48.87,39.53
-0.28,-0.75,1.26,0.76,9.93,36.06
-0.2,-0.74,1.24,4.85,-6.73,3.34
-0.19,-0.56,1.39,-5.52,-15.22,5.35
-0.2,-0.78,1.22,-18.95,-37.01,22.2
-0.12,-0.84,1.16,-9.43,-17.6,2.61
-0.15,-0.77,1.25,-8.64,17.68,-12.83
-0.19,-0.75,1.26,-6.01,11.27,-12.1
-0.2,-0.76,1.26,-7.29,10.11,-8.01
-0.18,-0.76,1.25,-4.24,4.8,-4.72
