accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.16,-0.77,1.26,2.35,-1.28,-0.03
-0.16,-0.76,1.27,3.08,-2.93,1.43
-0.16,-0.77,1.27,3.08,-5.31,1.43
-0.17,-0.77,1.27,2.17,-3.66,0.34
-0.16,-0.78,1.25,2.96,-6.29,-0.4
-0.16,-0.71,1.39,-11.32,-4.34,-14.01
-0.17,-0.75,1.26,1.92,-30.34,4.97
-0.1,-0.76,1.24,-8.27,20.93,1.92
-0.14,-0.75,1.24,-5.09,44.68,25.85
-0.27,-0.71,1.26,35.92,-18.98,27.68
-0.26,-0.84,1.38,43.67,-74.71,-10.1
-0.14,-0.83,1.3,-2.84,-57.99,-45.44
0.08,-0.7,1.08,-11.69,-3.24,-25.36
-0.11,-0.66,1.25,-6.68,70.86,-7.29
-0.14,-0.77,1.23,-11.44,15.44,13.95
-0.16,-0.78,1.25,-4.12,16.78,8.15
-0.16,-0.78,1.25,1.44,2.07,2.72
-0.17,-0.75,1.25,4.0,9.64,2.47
-0.16,-0.75,1.26,2.29,4.58,0.52
