accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.01,-0.73,1.22,2.21,-5.3,-0.52
-0.02,-0.72,1.21,1.54,-2.12,-2.23
-0.01,-0.72,1.21,0.93,-1.7,-1.68
-0.02,-0.73,1.21,-0.04,-0.84,-1.56
-0.01,-0.73,1.2,0.32,-8.35,-3.21
-0.01,-0.74,1.22,1.85,-11.71,-1.8
-0.04,-0.75,1.2,3.92,-8.66,-7.9
0.01,-0.73,1.2,10.09,11.12,-11.87
-0.05,-0.71,1.2,-4.26,-28.19,2.29
0.01,-0.7,1.18,-2.06,-35.45,-1.86
-0.02,-0.67,1.14,40.54,-42.47,-6.62
0.02,-0.81,1.27,34.2,-23.49,12.48
0.02,-0.72,1.21,5.81,-13.23,-0.4
0.12,-0.77,1.24,-25.31,-11.52,7.9
0.14,-0.66,1.11,-29.28,47.13,10.65
-0.01,-0.67,1.18,-13.05,43.83,6.5
-0.07,-0.64,1.14,34.68,-26.23,15.35
-0.0,-0.78,1.26,30.6,-64.81,-7.36
0.05,-0.75,1.22,-5.17,-58.52,-30.67
0.24,-0.63,1.07,-7.61,-11.34,-11.26
0.07,-0.68,1.15,-4.32,33.28,-3.21
0.03,-0.63,1.19,-18.84,5.87,5.64
0.06,-0.73,1.16,-14.88,8.25,11.81
0.07,-0.75,1.19,-6.27,7.03,3.26
0.05,-0.72,1.2,-4.13,10.88,-3.45
0.04,-0.71,1.2,-1.08,0.01,-2.66
