accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.02,-0.75,1.22,0.0,-1.35,-0.67
-0.02,-0.74,1.23,1.53,-3.42,1.53
-0.01,-0.74,1.23,1.65,-4.4,2.14
-0.02,-0.74,1.21,2.26,1.77,2.69
0.03,-0.72,1.2,5.01,7.08,10.68
-0.05,-0.78,1.2,12.39,-0.37,-0.49
-0.1,-0.68,1.21,-6.53,9.95,-11.17
-0.04,-0.71,1.2,-3.05,-23.44,6.71
-0.05,-0.72,1.21,16.85,-53.53,5.25
0.16,-0.72,1.18,-2.62,-43.34,-21.12
0.11,-0.71,1.17,-16.17,-14.65,-10.07
0.1,-0.7,1.16,-15.5,23.31,4.7
0.14,-0.61,1.07,2.69,5.61,29.05
-0.06,-0.78,1.28,44.62,-23.01,23.56
0.01,-0.75,1.23,23.74,-48.28,-1.28
-0.06,-0.7,1.22,11.48,-52.13,-17.46
0.16,-0.68,1.12,-1.28,4.94,-14.28
0.06,-0.61,1.3,-13.49,39.43,-8.79
0.09,-0.7,1.16,-12.63,10.07,3.23
0.02,-0.71,1.18,-8.12,6.28,3.72
0.01,-0.72,1.19,-8.85,7.38,4.52
0.02,-0.73,1.19,-8.73,9.52,3.23
-0.0,-0.73,1.21,-3.11,4.7,2.5
-0.01,-0.73,1.2,-4.03,9.88,0.61
