accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.03,-0.71,1.24,2.64,2.21,5.42
-0.01,-0.73,1.24,-0.23,-5.18,-0.26
-0.02,-0.72,1.23,-1.57,-7.07,-3.25
-0.04,-0.74,1.26,-7.06,-5.6,-6.97
-0.0,-0.77,1.22,-4.5,-4.38,-5.57
-0.03,-0.78,1.26,2.15,-13.78,-3.62
-0.02,-0.78,1.22,-3.83,10.39,-0.63
0.0,-0.81,1.23,0.99,26.99,-5.45
-0.13,-0.7,1.18,-13.23,23.02,6.94
-0.06,-0.75,1.24,-6.51,1.11,-3.19
-0.11,-0.67,1.16,34.32,-40.52,-0.69
-0.03,-0.77,1.27,47.87,-58.46,-12.47
-0.0,-0.76,1.3,45.43,-9.33,10.18
0.03,-0.71,1.2,15.09,16.61,14.94
-0.02,-0.74,1.26,-13.41,11.42,28.61
-0.08,-0.64,1.2,-61.02,20.21,12.98
0.03,-0.78,1.12,-35.14,6.91,-0.44
0.0,-0.76,1.19,-2.79,12.1,-8.19
-0.11,0.12,1.94,16.13,4.28,-7.28
-0.11,-0.75,1.26,7.4,-70.18,22.02
-0.12,-0.74,1.21,-5.9,-53.39,-57.39
0.19,-0.7,1.18,6.79,-19.58,-18.88
0.01,-0.64,1.37,12.1,4.28,4.87
0.05,-0.74,1.21,-10.54,-8.84,11.15
0.01,-0.75,1.22,0.5,5.5,9.14
-0.02,-0.74,1.24,-0.66,5.26,7.43
0.01,-0.75,1.23,-0.66,-4.08,5.23
0.0,-0.75,1.23,-0.47,-2.55,0.78
