accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.0,-0.75,1.22,1.48,-2.75,-2.44
0.0,-0.75,1.23,0.02,-2.32,-2.2
0.0,-0.75,1.22,0.08,-2.38,-1.28
-0.01,-0.76,1.22,1.11,-5.74,-1.59
-0.03,-0.79,1.19,7.04,-9.4,-9.28
-0.0,-0.78,1.22,7.1,-6.53,-7.87
0.0,-0.66,1.18,-16.34,2.93,-7.57
0.05,-0.78,1.24,-9.93,8.97,3.48
0.07,-0.71,1.18,-12.92,23.01,12.02
-0.17,-0.77,1.25,17.17,-3.97,20.81
-0.08,-0.74,1.23,16.86,-30.46,-0.43
0.04,-0.79,1.25,6.42,-42.42,-24.96
0.06,-0.82,1.26,-21.1,-6.29,-16.48
0.03,-0.71,1.19,-11.46,6.41,-5.49
-0.0,-0.75,1.22,-8.1,11.17,-5.68
-0.03,-0.7,1.17,11.67,18.12,-5.07
-0.03,-0.75,1.27,41.09,-21.06,-6.17
0.03,-0.74,1.23,38.16,-28.99,-10.62
0.05,-0.75,1.21,28.4,-12.82,-5.98
0.04,-0.69,1.16,22.35,8.54,8.54
-0.02,-0.71,1.19,8.01,16.05,12.27
0.08,-0.7,1.18,-10.79,14.1,32.47
-0.05,-0.71,1.17,-8.47,11.04,21.97
0.01,-0.55,1.23,-18.54,12.69,-7.81
-0.03,-0.69,1.21,-30.26,-24.91,9.76
0.06,-0.81,1.12,-19.03,-11.91,-2.75
0.03,-0.75,1.22,-8.47,11.65,-11.11
0.02,-0.73,1.2,-5.66,2.87,-8.85
0.02,-0.75,1.22,-7.74,5.49,-11.23
0.02,-0.74,1.21,-2.43,-2.2,-5.37
-0.0,-0.74,1.23,0.63,-2.44,-2.81
0.01,-0.73,1.23,-0.84,-1.04,-3.79
0.0,-0.75,1.22,-0.47,-1.35,-3.11
-0.01,-0.74,1.23,-0.11,-1.16,-2.02
