accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.03,-0.76,1.25,0.89,-4.26,-0.21
-0.01,-0.76,1.24,0.46,-4.63,0.7
-0.02,-0.75,1.24,0.4,-2.37,0.46
-0.01,-0.76,1.24,1.62,-3.1,0.76
-0.02,-0.76,1.22,-5.22,-2.43,-3.2
-0.02,-0.8,1.24,-0.09,8.5,-2.29
-0.07,-0.81,1.24,3.82,8.07,-2.84
-0.1,-0.73,1.21,-9.43,-10.0,-2.04
-0.04,-0.76,1.23,-6.68,-2.06,-3.27
-0.03,-0.62,1.13,27.25,-9.27,-3.08
-0.08,-0.84,1.31,49.59,-44.67,3.2
0.02,-0.79,1.27,15.11,-7.74,-1.74
-0.06,-0.74,1.23,14.68,-13.66,0.27
0.05,-0.57,1.11,-25.48,-16.47,-11.14
0.09,-0.61,1.15,-30.43,-0.42,-42.14
0.05,-0.63,1.11,1.31,-23.49,-30.55
-0.03,-0.73,1.21,38.12,-20.92,4.55
-0.03,-0.81,1.3,22.49,-18.36,9.49
0.02,-0.71,1.2,12.48,-8.96,-0.03
0.01,-0.74,1.21,-7.23,42.61,-4.36
-0.05,-0.71,1.17,-22.49,5.75,14.37
-0.02,-0.79,1.19,-12.72,3.37,6.13
-0.04,-0.74,1.24,-5.1,5.87,0.7
