accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.02,-0.75,1.22,0.31,-5.25,0.01
0.02,-0.73,1.23,0.67,-2.32,-0.23
0.02,-0.74,1.23,-0.85,-2.75,0.32
0.02,-0.75,1.23,-0.24,-3.24,-0.72
0.02,-0.74,1.25,1.4,-17.7,-1.51
0.06,-0.76,1.2,2.2,-7.82,-0.72
-0.03,-0.83,1.17,7.39,3.72,-4.2
0.0,-0.68,1.33,-23.25,-16.12,-11.58
0.07,-0.72,1.18,-13.0,-12.03,8.44
0.08,-0.63,1.12,41.69,-36.38,15.95
0.04,-0.79,1.27,23.13,-25.82,8.07
0.09,-0.7,1.19,17.52,-5.92,-2.85
-0.01,-0.73,1.17,-71.47,9.15,12.16
0.1,-0.88,1.17,-38.57,14.28,-10.73
-0.01,-0.75,1.18,-12.63,-6.9,-18.17
0.19,-0.86,1.06,41.75,3.54,-21.41
-0.03,-0.74,1.24,-2.81,3.35,3.19
-0.01,-0.69,1.2,5.01,16.05,6.18
-0.03,-0.61,1.34,-24.84,-8.49,7.16
0.09,-0.84,1.17,-9.52,-29.0,1.17
0.04,-0.83,1.26,13.25,-0.13,0.44
-0.06,-0.75,1.28,5.62,8.42,-6.27
0.04,-0.75,1.23,-5.8,-4.83,-2.91
-0.0,-0.78,1.24,1.04,-6.05,0.08
