accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.06,-0.72,1.21,-0.53,-3.1,-0.34
0.06,-0.71,1.2,0.14,-2.67,-1.31
0.05,-0.72,1.2,-1.27,-3.47,-0.64
0.06,-0.75,1.2,-0.17,-0.11,-1.25
0.05,-0.73,1.2,1.97,-2.43,-2.04
0.1,-0.73,1.21,12.47,6.36,-9.43
-0.02,-0.61,1.13,-9.51,10.26,-3.94
0.05,-0.69,1.17,-4.07,-2.98,5.4
0.06,-0.58,1.09,11.61,5.75,-0.46
0.01,-0.72,1.2,34.87,-37.22,-1.98
0.12,-0.7,1.17,41.21,-24.59,-3.08
0.21,-0.63,1.11,31.39,25.4,13.27
0.0,-0.74,1.21,0.99,34.01,35.49
0.09,-0.77,1.25,-45.33,-0.54,37.26
0.04,-0.65,1.11,-24.22,9.41,6.01
-0.07,-0.62,1.14,-1.27,7.46,-14.86
0.02,-0.74,1.12,-37.09,-38.56,-5.71
0.19,-0.86,1.13,-20.49,-31.12,-15.84
0.11,-0.76,1.21,-10.24,12.52,-19.99
0.03,-0.71,1.23,-4.99,-2.8,-9.13
0.08,-0.71,1.23,-6.64,-15.49,-11.02
0.14,-0.82,1.17,-5.72,2.15,-6.2
-0.05,0.1,2.39,22.9,33.15,-12.36
0.02,-0.73,1.21,3.31,-19.52,14.19
0.03,-0.74,1.22,-1.63,1.11,-0.34
0.03,-0.75,1.23,-2.79,3.92,-1.25
0.0,-0.71,1.2,18.02,-6.64,-8.39
0.02,-0.68,1.16,-15.18,-16.96,3.94
0.08,-0.83,1.18,3.31,-13.48,8.76
-0.0,-0.77,1.25,13.2,-5.73,8.51
0.04,-0.73,1.23,1.97,-6.03,1.31
0.04,-0.73,1.21,1.85,-8.78,0.52
0.05,-0.73,1.22,0.93,-6.15,-0.21
