accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.07,-0.72,1.23,-0.27,-4.87,-0.21
0.11,-0.74,1.2,-0.21,-4.26,0.82
0.12,-0.74,1.22,-1.8,-6.7,2.47
0.1,-0.74,1.24,0.34,-4.14,-0.64
0.1,-0.74,1.24,-0.21,-5.12,1.8
0.09,-0.76,1.21,-4.67,1.66,2.53
0.16,-0.75,1.19,15.53,13.87,-11.69
0.0,-0.66,1.14,-7.42,-3.71,7.96
0.09,-0.6,1.15,29.51,-27.7,-3.39
0.13,-0.67,1.17,57.4,-45.64,20.42
0.12,-0.77,1.24,32.44,-22.69,17.55
0.13,-0.77,1.3,8.7,8.19,-3.75
0.14,-0.72,0.96,-41.11,3.19,2.59
0.14,-0.79,1.17,7.84,6.85,-15.72
-0.07,-0.76,1.24,-31.65,-11.59,-15.96
0.28,-0.6,1.13,-19.2,8.19,-34.21
0.09,-0.7,1.17,1.37,-0.78,-1.56
0.1,-0.74,1.08,9.8,-12.68,34.64
0.03,-0.85,1.18,24.26,17.77,13.89
0.07,-0.7,1.18,-4.18,-24.22,4.24
-0.0,-0.64,1.12,4.61,-24.4,-26.58
0.18,-0.68,1.16,38.67,-70.0,-13.82
0.16,-0.68,1.17,17.0,-25.5,5.28
0.18,-0.6,1.16,-9.67,4.47,-0.4
0.16,-0.65,1.17,-26.34,13.07,11.93
0.14,-0.72,1.17,-22.8,4.22,14.86
0.13,-0.74,1.19,-12.42,9.29,4.06
0.11,-0.71,1.18,-6.62,4.28,-0.52
0.11,-0.7,1.18,-4.24,2.27,-2.29
