accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.14,-0.74,1.22,1.89,-4.44,-1.04
0.15,-0.72,1.22,2.26,-3.47,-1.34
0.12,-0.73,1.22,0.92,0.44,-0.86
0.14,-0.73,1.22,0.55,-4.32,-0.73
0.13,-0.73,1.22,-0.73,-7.8,-3.36
0.14,-0.73,1.22,-0.49,-6.34,-1.59
0.13,-0.74,1.22,-0.55,-15.86,-2.38
0.17,-0.74,1.22,-4.15,4.96,-2.63
0.14,-0.75,1.21,0.25,-1.7,-0.0
0.16,-0.75,1.21,7.2,-0.29,-0.73
0.16,-0.71,1.26,-19.65,-2.67,-3.05
0.15,-0.72,1.21,-1.16,-18.91,7.99
0.14,-0.66,1.16,27.77,-20.8,10.13
0.12,-0.85,1.36,60.49,-50.77,21.12
0.23,-0.68,1.18,31.01,-30.08,5.49
0.21,-0.68,1.18,7.87,-12.32,3.54
0.18,-0.66,1.2,-28.14,57.02,-18.31
0.19,-0.71,1.15,-36.74,18.99,-7.75
0.22,-0.73,1.16,-10.25,9.29,-8.24
0.16,-0.71,1.21,-4.03,6.3,-8.91
