accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.1,-0.73,1.22,2.44,-1.99,0.06
0.1,-0.71,1.22,2.14,-2.72,-1.22
0.11,-0.73,1.21,0.92,-7.85,-2.2
0.1,-0.73,1.22,3.54,-0.16,-1.83
0.11,-0.75,1.21,7.2,3.81,-3.48
0.08,-0.73,1.21,13.37,10.34,-8.24
0.04,-0.66,1.25,-14.34,-1.87,-13.12
0.1,-0.63,1.13,-24.05,10.65,3.05
0.06,-0.7,1.21,27.47,-20.6,15.62
0.09,-0.74,1.25,2.69,-8.15,-0.67
0.05,-0.82,1.3,-24.05,-24.69,-5.68
0.1,-0.65,1.16,-28.38,-8.27,-27.16
0.09,-0.57,1.11,0.12,-17.86,-28.02
0.18,-0.72,1.22,38.64,-25.18,-4.21
0.1,-0.75,1.26,2.87,-1.13,1.4
0.07,-0.79,1.27,-21.3,-11.45,1.46
0.1,-0.67,1.19,-17.82,-20.3,-13.61
0.13,-0.62,1.14,0.49,-38.61,-8.0
0.19,-0.69,1.21,31.07,-16.09,-17.21
0.13,-0.74,1.25,19.41,-12.91,8.06
0.14,-0.69,1.21,18.07,-4.49,-2.75
0.14,-0.61,1.15,-29.05,23.65,3.05
0.06,-0.72,1.17,-19.65,27.55,15.01
0.1,-0.76,1.2,-7.32,8.63,5.37
0.1,-0.73,1.21,-2.68,14.13,-4.82
0.09,-0.68,1.2,-0.49,5.03,-2.32
0.09,-0.7,1.21,0.55,2.22,0.61
0.08,-0.71,1.21,0.98,-2.54,-0.92
0.08,-0.71,1.21,2.14,-4.06,-1.65
0.08,-0.7,1.21,3.18,-2.9,-1.1
0.08,-0.71,1.21,1.89,-3.27,-0.31
