accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.12,-0.72,1.24,5.1,3.92,-3.07
0.09,-0.71,1.24,4.49,6.12,-1.42
0.1,-0.74,1.22,3.39,1.97,-2.21
0.11,-0.72,1.24,4.24,-0.11,-3.07
0.12,-0.74,1.23,7.97,1.78,-4.84
0.13,-0.76,1.19,15.66,0.26,-5.75
0.09,-0.71,1.18,-5.16,-17.5,-8.32
0.13,-0.72,1.27,28.47,-18.18,7.8
0.09,-0.79,1.29,5.59,3.68,-0.51
0.11,-0.77,1.26,-5.22,-16.77,-2.28
0.07,-0.72,1.2,-11.32,-27.15,-15.34
0.08,-0.7,1.17,-0.52,-38.26,-8.38
0.27,-0.66,1.17,26.16,-22.02,-22.11
0.14,-0.76,1.26,16.33,1.42,2.61
0.15,-0.7,1.21,10.16,-1.94,1.08
0.15,-0.68,1.21,19.87,13.38,15.0
0.06,-0.73,1.23,-17.06,-0.72,-0.08
0.2,-0.75,1.18,-10.95,0.01,-8.62
0.11,-0.7,1.23,-11.56,9.17,-10.88
0.12,-0.75,1.23,-5.52,1.84,-6.0
