accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.14,-0.74,1.24,3.65,-0.31,-0.69
0.15,-0.72,1.22,3.59,-0.67,-0.02
0.13,-0.71,1.23,3.65,0.49,1.57
0.15,-0.74,1.22,3.28,-0.0,0.41
0.14,-0.73,1.21,6.03,1.59,-2.34
0.15,-0.73,1.2,11.58,2.68,-2.34
0.19,-0.77,1.19,19.27,3.29,-10.94
0.1,-0.68,1.17,-5.08,-9.22,1.69
0.17,-0.67,1.17,-12.65,11.72,6.82
0.29,-0.55,1.12,-11.55,19.29,6.09
0.1,-0.67,1.17,26.66,-20.14,12.25
0.08,-0.76,1.27,38.38,-68.3,2.12
0.3,-0.73,1.21,7.98,-61.65,-24.86
0.3,-0.73,1.2,-15.76,-5.98,-6.36
0.13,-0.55,1.07,-25.65,33.02,7.92
0.29,-0.66,1.18,-12.71,36.25,11.64
0.13,-0.73,1.22,7.86,2.07,21.77
0.2,-0.58,1.45,13.11,6.59,-11.55
0.19,-0.71,1.16,-21.13,-3.79,2.49
0.28,-0.79,1.2,-8.38,7.75,-0.14
0.22,-0.75,1.24,3.89,12.94,-3.98
0.2,-0.71,1.24,4.5,3.36,-3.68
0.19,-0.73,1.21,2.67,2.87,-4.11
0.21,-0.73,1.24,3.65,2.87,-4.59
