accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.04,-0.74,1.22,9.08,10.71,-2.46
0.05,-0.68,1.23,3.34,4.67,0.35
0.03,-0.74,1.25,-2.64,-1.5,-6.49
0.04,-0.74,1.23,-1.54,-4.73,-3.74
0.06,-0.78,1.18,7.62,-11.81,-5.02
-0.02,-0.67,1.2,-15.21,18.4,-2.03
0.05,-0.64,1.15,33.01,-35.31,2.24
0.11,-0.73,1.22,59.19,-30.55,-0.44
0.09,-0.69,1.16,40.76,-15.84,22.51
0.12,-0.69,1.2,8.77,-9.43,1.08
0.15,-0.69,1.1,-73.2,23.16,-13.87
0.14,-0.77,1.14,-34.74,30.06,1.63
0.08,-0.74,1.2,-7.58,7.17,-7.71
0.02,-0.6,1.14,-18.63,-6.75,-7.77
0.01,-0.66,1.17,-16.55,-10.23,-27.73
0.15,-0.64,1.16,32.76,-41.17,-44.45
0.21,-0.77,1.27,23.12,-9.43,-4.23
0.1,-0.71,1.22,-2.21,33.11,28.91
-0.06,-0.72,1.22,-6.12,2.84,39.29
0.07,-0.72,1.22,9.45,-23.71,9.26
0.07,-0.55,1.27,-18.94,-18.22,-4.04
0.18,-0.76,1.2,-26.44,-21.21,-1.73
0.2,-0.81,1.18,-2.58,3.81,-5.27
0.12,-0.73,1.25,5.48,9.79,-4.11
0.07,-0.74,1.26,1.21,6.74,-4.65
