accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.12,-0.74,1.23,1.1,-2.87,-0.76
0.11,-0.73,1.23,1.22,-2.93,-0.89
0.12,-0.73,1.23,0.79,-2.93,-0.82
0.11,-0.74,1.22,0.98,-2.32,-0.28
0.13,-0.73,1.22,2.2,0.36,-0.15
0.1,-0.74,1.23,6.1,-1.65,-0.52
0.12,-0.7,1.23,5.74,2.01,-0.82
0.09,-0.73,1.22,1.71,1.46,0.09
0.1,-0.71,1.21,1.77,-4.15,-0.89
0.11,-0.71,1.21,0.61,-2.99,-1.25
0.11,-0.72,1.22,-0.73,-5.37,-1.62
0.11,-0.73,1.22,-0.18,-5.13,-2.05
0.11,-0.73,1.22,1.65,-6.29,-2.72
0.12,-0.72,1.22,3.48,-5.19,-3.33
0.09,-0.87,1.11,9.22,0.06,-7.23
-0.0,-0.73,1.18,-10.07,10.74,-8.03
0.18,-0.7,1.2,-13.92,8.36,11.5
0.28,-0.55,1.1,8.97,-14.96,67.23
0.01,-0.76,1.26,37.42,-31.99,10.41
0.03,-0.77,1.27,15.56,-48.1,-17.0
0.22,-0.81,1.3,-16.84,-14.59,-28.05
0.16,-0.65,1.14,-10.25,-3.06,-6.2
0.17,-0.69,1.2,-30.21,36.25,-4.55
0.07,-0.63,1.11,64.27,-32.72,7.6
0.24,-0.67,1.17,62.93,-15.93,2.17
0.16,-0.68,1.2,10.25,-14.53,3.94
0.19,-0.64,1.14,13.31,-7.82,-2.53
0.21,-0.61,1.14,-20.2,32.83,-0.82
0.12,-0.65,1.13,-31.37,3.96,8.64
0.19,-0.71,1.15,-15.69,3.41,-6.93
0.13,-0.66,1.16,-13.79,8.91,-4.55
0.12,-0.67,1.17,-14.46,6.83,1.01
0.12,-0.71,1.19,-9.15,1.46,1.31
