accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.05,-0.73,1.23,1.13,-1.1,-0.9
0.06,-0.75,1.23,1.13,-1.83,-1.82
0.06,-0.74,1.24,1.8,0.79,-0.72
0.05,-0.75,1.24,-0.7,2.07,-0.84
0.05,-0.75,1.24,-0.09,8.66,-2.06
0.04,-0.73,1.23,3.08,5.12,-0.35
0.03,-0.76,1.22,4.12,13.24,-3.1
0.03,-0.75,1.21,13.4,23.56,-10.12
0.01,-0.73,1.21,-10.71,-12.88,1.36
0.01,-0.72,1.24,33.66,7.81,1.97
-0.02,-0.83,1.31,35.07,2.8,20.4
-0.02,-0.72,1.22,5.1,2.26,-2.67
-0.04,-0.81,1.29,-27.37,-2.81,-6.94
-0.06,-0.74,1.22,-41.72,-2.44,-28.37
-0.03,-0.66,1.14,-12.85,-32.11,-29.16
0.09,-0.73,1.23,3.14,-29.54,-4.01
-0.0,-0.73,1.23,7.66,4.39,-4.07
0.02,-0.59,1.32,-33.54,-0.92,-2.49
0.04,-0.8,1.22,-19.5,-6.66,12.4
0.05,-0.83,1.24,-1.74,7.26,5.93
0.01,-0.78,1.27,8.7,4.39,-0.11
0.0,-0.75,1.26,5.4,-0.67,-1.33
