accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.0,-0.75,1.22,3.14,0.18,-2.56
0.0,-0.73,1.22,2.41,-1.77,-1.89
0.0,-0.73,1.22,-0.15,-3.36,-1.71
0.0,-0.76,1.22,0.89,-1.77,-1.22
0.02,-0.75,1.22,4.3,-0.92,-4.94
-0.0,-0.77,1.18,8.94,7.87,-10.07
0.02,-0.73,1.21,14.25,4.21,-13.92
-0.06,-0.73,1.2,-6.56,22.03,-2.87
-0.03,-0.75,1.22,-13.7,21.05,5.98
-0.06,-0.7,1.18,-21.82,66.16,-3.78
-0.16,-0.7,1.16,-4.55,32.41,17.7
-0.23,-0.79,1.25,18.34,-34.18,10.99
-0.1,-0.75,1.2,21.46,-67.81,-35.95
0.03,-0.64,1.11,18.59,-57.07,-21.18
0.02,-0.73,1.2,6.32,32.77,-7.81
-0.06,-0.74,1.22,-4.42,63.41,8.91
-0.21,-0.77,1.23,-11.14,29.6,20.2
-0.08,-0.72,1.19,-5.71,-26.13,18.37
-0.11,-0.55,1.29,9.61,-27.1,17.21
-0.02,-0.72,1.2,-19.68,-35.1,-1.77
0.05,-0.8,1.19,-11.69,-18.92,-1.65
0.02,-0.76,1.23,-0.64,6.1,-8.24
-0.03,-0.74,1.23,0.4,-2.32,-5.13
