accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.03,-0.73,1.25,2.35,7.86,-3.92
0.06,-0.75,1.24,0.83,-3.98,-0.2
0.05,-0.74,1.25,1.37,2.24,-2.46
0.04,-0.76,1.26,-0.21,1.39,0.29
0.04,-0.77,1.26,1.74,6.09,-2.58
0.04,-0.76,1.23,2.05,8.34,-3.19
-0.01,-0.34,1.5,6.38,5.35,-9.11
0.05,-0.72,1.21,-8.7,10.85,-3.19
0.1,-0.67,1.22,27.13,40.27,-2.15
-0.21,-0.91,1.37,33.78,11.09,25.56
-0.02,-0.8,1.3,20.54,-53.36,11.95
-0.0,-0.76,1.22,6.62,-25.47,-28.89
0.14,-0.63,1.35,1.74,7.18,-9.17
0.1,-0.79,1.18,-27.86,-20.83,14.51
0.09,-0.79,1.2,-4.73,8.04,12.31
0.02,-0.75,1.24,10.9,19.82,1.39
-0.07,-0.62,1.14,-13.95,32.82,-1.54
-0.09,-0.77,1.25,-1.92,-55.62,17.74
0.23,-0.75,1.25,6.07,-50.8,-46.53
0.19,-0.71,1.23,9.92,-23.76,-1.48
0.08,-0.61,1.42,14.31,5.05,21.71
0.1,-0.76,1.23,-19.19,-10.03,19.76
0.12,-0.8,1.23,-6.62,1.33,4.19
0.1,-0.74,1.25,1.07,17.81,-2.03
0.08,-0.75,1.25,0.03,10.6,-3.13
0.09,-0.75,1.25,1.37,5.23,-1.85
0.09,-0.75,1.26,1.01,8.53,-4.72
0.07,-0.75,1.25,3.33,-1.24,-5.69
