accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.23,-0.77,1.29,1.08,-1.59,-2.99
-0.25,-0.75,1.31,0.47,-2.57,-1.59
-0.23,-0.78,1.28,1.45,0.97,-1.59
-0.25,-0.75,1.3,0.6,8.97,-2.5
-0.24,-0.77,1.28,-0.75,8.05,-2.93
-0.27,-0.78,1.33,2.61,2.56,-6.47
-0.27,-0.78,1.31,1.76,-6.96,-0.67
-0.25,-0.75,1.28,-6.0,5.61,0.24
-0.29,-0.78,1.34,24.58,-23.14,2.14
-0.32,-0.83,1.39,38.74,-52.25,-9.16
-0.26,-0.81,1.35,6.88,-38.33,-16.05
-0.17,-0.75,1.24,-26.75,-1.77,-12.88
-0.2,-0.75,1.27,-20.4,15.8,5.74
-0.27,-0.73,1.27,-1.48,-8.0,-1.47
-0.27,-0.71,1.25,18.54,-20.02,-8.42
-0.18,-0.78,1.29,48.75,-35.47,-6.04
-0.18,-0.8,1.31,15.67,-6.23,-2.2
-0.19,-0.72,1.24,7.8,-7.45,-2.69
-0.21,-0.57,1.34,-25.59,19.04,14.89
-0.21,-0.78,1.21,-15.4,-10.07,24.96
-0.19,-0.78,1.24,-1.97,3.72,2.5
-0.22,-0.73,1.28,-2.88,15.99,-1.65
-0.24,-0.76,1.28,-4.9,8.36,3.36
-0.22,-0.77,1.28,-0.99,1.09,0.3
