accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.2,-0.74,1.28,0.69,-2.46,-2.43
-0.18,-0.76,1.27,1.48,-2.58,-2.49
-0.19,-0.76,1.27,0.99,7.24,-3.04
-0.19,-0.74,1.27,3.19,10.48,-0.72
-0.2,-0.76,1.27,3.5,10.17,-2.06
-0.2,-0.77,1.25,6.18,26.59,-6.39
-0.25,-0.73,1.27,1.6,-11.55,6.36
-0.2,-0.74,1.26,-2.0,-8.32,1.54
-0.27,-0.68,1.22,22.78,-35.48,-10.24
-0.12,-0.82,1.32,31.94,-36.09,-4.56
-0.16,-0.77,1.28,6.06,-17.72,-3.47
-0.19,-0.74,1.28,17.04,-39.2,0.2
-0.14,-0.75,1.3,-20.43,-15.46,-7.68
-0.14,-0.64,1.15,-27.27,9.26,-9.45
-0.16,-0.69,1.22,-6.27,-1.12,-1.7
-0.17,-0.67,1.2,-0.47,2.91,-2.67
-0.15,-0.73,1.31,13.08,13.41,-8.9
-0.2,-0.73,1.27,-14.14,-7.28,15.94
-0.13,-0.81,1.23,-4.13,1.26,11.55
-0.17,-0.78,1.28,1.42,17.93,-1.27
-0.2,-0.75,1.3,-0.72,8.95,-3.83
-0.17,-0.76,1.28,-0.59,-1.79,0.44
