accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.42,-0.76,1.39,0.75,-1.45,-0.79
-0.41,-0.77,1.37,-1.75,-1.15,-0.49
-0.44,-0.76,1.41,-0.47,-2.98,0.12
-0.43,-0.76,1.4,-1.57,-4.02,-2.2
-0.43,-0.79,1.4,-1.69,-3.41,-3.97
-0.42,-0.77,1.38,3.92,3.79,-12.63
-0.46,-0.73,1.37,-4.26,-13.97,4.21
-0.41,-0.64,1.27,-6.09,-6.58,9.95
-0.48,-0.81,1.49,28.89,-23.49,2.44
-0.46,-0.79,1.46,20.16,-56.69,-5.55
-0.36,-0.8,1.42,-14.2,-38.08,-17.82
-0.34,-0.68,1.24,-18.48,-3.22,1.4
-0.4,-0.73,1.34,-7.86,5.38,-7.14
-0.46,-0.74,1.39,24.92,-24.28,-0.12
-0.42,-0.76,1.39,23.88,-27.15,-6.04
-0.51,-0.77,1.52,9.97,-46.32,-12.57
-0.32,-0.77,1.37,-4.32,-37.22,-5.37
-0.35,-0.67,1.25,-27.82,31.08,2.44
-0.43,-0.73,1.35,-12.37,36.02,8.91
-0.51,-0.67,1.32,40.97,-12.99,13.85
-0.46,-0.82,1.33,-31.54,-50.4,26.43
-0.28,-0.92,1.28,-8.35,-18.36,14.22
-0.35,-0.85,1.38,7.52,24.24,-10.01
-0.4,-0.76,1.44,9.42,17.71,-13.73
-0.42,-0.75,1.43,2.03,-0.23,-4.7
-0.39,-0.79,1.39,1.73,-3.22,-0.92
-0.41,-0.77,1.42,3.56,-0.36,-1.34
-0.41,-0.78,1.42,2.58,-4.63,-0.79
