accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.33,-0.77,1.37,0.66,10.04,-3.59
-0.32,-0.76,1.36,-0.56,2.83,-2.0
-0.33,-0.79,1.35,0.72,8.69,0.75
-0.34,-0.81,1.35,4.56,19.44,-1.94
-0.4,-0.81,1.37,4.81,25.72,-13.41
-0.43,-0.77,1.41,-8.74,-43.98,-0.05
-0.46,-0.57,1.19,-8.86,-35.92,-16.89
-0.26,-0.85,1.39,46.49,-3.7,-0.47
-0.48,-0.82,1.48,0.66,-2.35,6.48
-0.34,-0.81,1.49,-40.6,-19.38,-11.4
-0.27,-0.68,1.21,-31.39,-17.55,-19.09
-0.29,-0.75,1.31,-12.34,14.37,-4.32
-0.39,-0.74,1.35,11.09,15.16,10.15
-0.4,-0.85,1.47,22.51,-16.82,0.38
-0.3,-0.8,1.38,22.75,-55.64,0.14
-0.31,-0.78,1.35,4.14,-24.2,-18.6
-0.3,-0.72,1.29,1.82,48.06,-15.06
-0.34,-0.8,1.32,-13.5,13.27,14.72
-0.33,-0.79,1.33,-6.85,17.79,7.95
-0.37,-0.75,1.35,-6.67,19.13,6.0
-0.36,-0.77,1.36,-5.32,1.8,10.57
-0.35,-0.8,1.36,-1.72,0.7,6.55
-0.34,-0.76,1.37,1.45,1.37,1.05
-0.36,-0.78,1.36,-1.66,-1.38,0.99
