accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.22,-0.75,1.29,3.18,5.95,-2.99
-0.24,-0.75,1.31,3.79,6.56,-4.46
-0.22,-0.74,1.31,3.36,5.16,-2.32
-0.23,-0.77,1.3,2.14,7.23,-2.2
-0.21,-0.78,1.31,6.29,18.89,-7.27
-0.23,-0.78,1.3,11.42,27.68,-16.66
-0.3,-0.71,1.28,-5.67,-10.77,4.51
-0.25,-0.62,1.18,-24.04,27.8,5.8
-0.35,-0.75,1.36,30.76,-21.33,-0.86
-0.2,-0.8,1.36,15.81,-43.43,-22.89
-0.22,-0.81,1.4,-19.59,9.19,-26.0
-0.23,-0.67,1.22,-20.75,8.21,-3.91
-0.26,-0.73,1.28,-6.96,10.53,-10.68
-0.34,-0.72,1.29,35.22,10.71,-8.3
-0.4,-0.7,1.27,54.2,-1.74,-13.73
-0.15,-0.75,1.27,35.89,39.76,-20.33
-0.3,-0.72,1.29,13.67,81.7,-2.87
-0.36,-0.76,1.33,-20.08,9.92,39.67
-0.49,-0.68,1.33,-61.15,1.8,6.35
-0.43,-0.69,1.23,-27.83,-90.97,-49.99
0.04,-0.63,1.12,11.11,-70.1,-22.22
-0.25,-0.75,1.31,-1.65,21.51,-5.31
-0.24,-0.74,1.3,14.04,33.91,-11.66
-0.31,-0.77,1.28,9.28,14.8,10.13
-0.32,-0.76,1.35,3.18,21.76,2.5
-0.32,-0.77,1.32,-1.34,11.51,0.91
