accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.15,-0.75,1.26,-1.05,0.82,-1.11
-0.15,-0.76,1.27,-2.64,-1.44,0.59
-0.13,-0.75,1.26,-1.72,-0.89,1.08
-0.15,-0.77,1.26,-1.72,1.86,3.95
-0.13,-0.78,1.25,2.49,5.95,2.67
-0.13,-0.78,1.24,8.16,17.0,-6.79
-0.21,-0.75,1.28,-6.55,7.96,1.94
-0.21,-0.76,1.32,-10.33,-49.72,-22.17
-0.1,-0.73,1.22,4.62,-59.6,-14.48
-0.01,-0.61,1.09,-7.89,48.55,-21.99
-0.04,-0.64,1.14,28.67,47.64,36.0
-0.36,-0.82,1.38,3.4,30.12,21.22
-0.28,-0.8,1.35,-0.56,-25.24,-39.44
-0.18,-0.73,1.24,-6.0,-62.11,-49.82
-0.06,-0.72,1.2,6.94,-58.26,-18.02
-0.08,-0.73,1.22,-3.01,14.25,-0.93
-0.06,-0.73,1.22,10.85,26.46,-2.33
-0.21,-0.75,1.24,-16.55,-3.45,21.29
-0.09,-0.81,1.21,-6.91,-5.71,14.33
-0.15,-0.76,1.26,2.24,16.63,-2.76
-0.16,-0.75,1.28,-2.09,8.94,-0.2
