accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.12,-0.4,0.94,9.1,-4.07,-9.55
-0.19,-0.38,0.95,10.13,8.08,-7.11
-0.25,-0.43,0.93,18.01,-10.66,-10.71
-0.16,-0.35,0.91,43.34,-66.5,-15.41
-0.02,-0.32,0.85,69.7,-80.18,6.68
0.14,-0.23,0.98,49.26,-56.74,-17.12
0.08,-0.27,0.71,24.42,-42.7,7.17
-0.05,-0.26,0.86,25.39,0.82,-7.84
0.03,-0.26,0.74,6.35,-20.61,6.26
-0.06,-0.19,0.92,1.28,22.48,-1.56
-0.07,-0.26,0.77,10.62,3.38,-4.06
-0.19,-0.05,0.96,-31.98,35.42,3.27
-0.09,-0.22,0.84,-9.34,3.56,-4.73
-0.14,-0.23,0.88,-4.15,11.62,6.56
-0.13,-0.31,0.92,-5.12,5.94,17.73
-0.22,-0.19,0.85,-7.08,-0.16,-8.7
-0.14,-0.14,0.83,5.13,-27.08,-18.34
0.02,-0.19,0.82,23.87,-42.27,3.27
-0.22,-0.32,0.94,13.86,-20.0,15.11
-0.05,-0.22,0.84,16.6,-49.11,15.72
-0.32,-0.29,0.95,-16.9,-12.55,-42.88
0.15,-0.12,0.74,-9.15,-7.73,-23.04
-0.14,-0.23,0.88,-7.69,9.24,-8.27
-0.06,-0.21,0.87,-6.59,13.63,-3.88
-0.2,-0.01,1.15,-93.08,3.62,46.3
-0.1,-0.29,0.9,-64.82,-8.64,17.73
-0.11,-0.4,0.9,-31.43,-3.76,4.43
-0.09,-0.38,0.9,-6.1,17.48,7.97
0.26,-0.1,1.1,1.41,-50.39,22.19
-0.17,-0.38,0.96,-0.24,45.8,33.66
-0.29,-0.45,0.93,15.38,-13.89,26.95
-0.28,-0.46,0.89,15.51,-8.95,16.27
-0.2,-0.31,1.09,14.96,-2.48,0.89
-0.08,-0.39,0.84,6.84,-12.18,2.17
-0.11,-0.36,0.92,7.75,0.27,2.17
-0.13,-0.32,0.94,6.9,-8.64,3.75
-0.12,-0.35,0.93,5.86,-4.19,1.8
