accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.04,-0.42,0.93,7.03,-19.92,-14.74
-0.02,-0.44,1.0,16.01,-27.12,-7.36
-0.1,-0.42,0.97,5.02,-15.1,0.46
-0.06,-0.3,1.05,11.06,-25.84,1.74
-0.03,-0.42,0.96,2.64,-14.18,1.49
-0.12,-0.41,0.97,7.28,-6.55,-2.66
-0.07,-0.4,0.95,0.93,-15.22,-6.01
-0.08,-0.39,0.97,0.87,-1.3,-6.32
-0.06,-0.4,0.96,-14.94,-1.06,-5.77
-0.06,-0.38,0.96,-21.29,2.72,0.7
-0.07,-0.35,0.94,-9.93,-15.83,7.9
-0.16,-0.36,0.95,17.78,-44.76,29.45
-0.09,-0.48,1.04,15.52,-37.86,6.26
-0.05,-0.48,1.03,-7.31,-14.0,-23.96
0.03,-0.34,0.92,-28.73,10.54,-15.05
-0.06,-0.38,0.96,-7.74,-3.87,-5.34
-0.05,-0.42,0.98,-10.85,10.6,-3.39
-0.08,-0.43,1.0,13.81,-19.07,-1.43
-0.1,-0.44,1.0,10.39,-19.86,-5.46
-0.06,-0.42,1.0,9.29,-14.12,-16.33
-0.07,-0.4,0.89,-73.84,0.16,-24.63
-0.07,-0.46,0.99,-42.71,6.2,-13.89
-0.08,-0.51,1.02,-17.62,0.22,3.63
-0.14,-0.51,1.01,-24.28,0.89,-0.76
-0.11,-0.54,1.04,0.63,-5.15,4.79
-0.15,-0.52,1.02,-3.83,-1.36,0.09
-0.11,-0.52,1.04,1.48,-9.3,2.04
-0.12,-0.49,1.08,-2.55,-7.47,3.14
-0.13,-0.53,1.03,-0.17,-10.34,3.39
-0.14,-0.5,1.06,0.26,-8.51,3.02
-0.1,-0.51,1.04,-2.49,-10.34,3.51
-0.15,-0.52,1.05,-0.84,-10.28,4.73
-0.13,-0.51,1.05,-2.67,-9.6,1.8
-0.11,-0.52,1.05,-1.88,-9.85,1.92
-0.13,-0.52,1.05,0.08,-10.34,2.96
