accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.06,-0.61,1.07,3.19,-0.25,-1.4
-0.1,-0.6,1.07,8.75,1.64,-2.87
-0.12,-0.52,1.13,7.89,2.8,-1.77
-0.11,-0.59,1.08,5.63,4.02,-4.52
-0.11,-0.51,1.13,13.02,5.37,-3.91
-0.16,-0.61,1.05,4.41,1.46,-5.31
-0.15,-0.55,1.12,-19.64,12.39,3.36
-0.17,-0.53,1.05,-11.95,-0.31,-2.63
-0.15,-0.56,1.07,0.44,-17.95,-0.86
-0.19,-0.5,1.04,18.33,-30.34,-7.45
-0.11,-0.6,1.09,23.45,-34.37,-1.65
-0.09,-0.59,1.09,15.76,-11.78,-6.1
-0.09,-0.58,1.08,1.91,-1.53,0.12
-0.09,-0.71,1.14,-17.19,-3.91,-7.45
-0.1,-0.48,1.01,-9.02,0.55,-18.8
-0.09,-0.55,1.05,1.54,0.79,-11.35
-0.13,-0.53,1.05,8.99,-3.24,-9.4
-0.04,-0.54,1.05,11.06,-6.17,3.3
-0.09,-0.64,1.11,10.15,-23.01,31.07
-0.19,-0.56,1.07,1.97,-24.36,4.33
-0.16,-0.48,1.07,-50.83,-16.36,-4.82
-0.05,-0.63,1.03,-37.09,-0.92,-13.79
-0.05,-0.68,1.03,-9.93,-6.05,-8.97
-0.06,-0.61,1.1,5.08,0.73,0.12
-0.09,-0.65,1.08,2.58,4.39,-2.56
-0.1,-0.62,1.1,0.26,4.57,-1.4
-0.11,-0.61,1.1,2.03,-2.69,-0.73
-0.09,-0.63,1.11,2.03,-3.73,0.73
-0.1,-0.63,1.1,0.51,-5.62,0.55
-0.09,-0.62,1.11,-0.59,-1.1,0.12
-0.12,-0.63,1.11,-1.39,-1.77,0.98
-0.13,-0.62,1.11,1.05,-0.68,-2.2
-0.09,-0.64,1.1,2.15,-2.81,-0.43
-0.13,-0.61,1.13,1.67,-5.68,0.06
-0.09,-0.64,1.1,1.67,-5.92,-1.53
-0.11,-0.61,1.14,3.62,-2.45,0.49
