accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.11,-0.45,1.11,0.66,-5.4,-8.55
0.0,-0.62,0.98,4.14,1.31,-4.94
0.01,-0.47,1.08,7.0,1.0,-9.83
0.1,-0.55,1.02,-0.62,-1.01,-8.12
-0.07,-0.54,1.06,16.28,7.54,-14.47
0.09,-0.39,1.1,11.58,-7.91,-9.77
0.04,-0.53,1.06,10.54,2.77,-2.5
-0.07,-0.49,1.04,11.89,-0.7,-12.51
0.06,-0.53,0.96,24.89,-14.99,-14.34
0.02,-0.43,1.03,-6.06,-6.14,0.73
0.05,-0.47,1.02,-8.62,0.76,-0.79
0.01,-0.42,0.99,-8.31,12.6,3.11
0.1,-0.45,1.01,2.79,-9.25,23.68
0.03,-0.44,1.0,12.01,-15.84,25.51
-0.04,-0.51,1.05,22.32,-40.5,17.46
0.0,-0.49,1.04,12.19,-34.52,-10.25
0.06,-0.49,1.04,-4.29,-17.61,-38.09
0.22,-0.43,0.99,-1.78,-14.5,-9.64
0.09,-0.46,1.01,-1.6,8.82,-8.48
0.11,-0.45,1.02,2.0,8.33,-4.33
0.05,-0.27,1.24,-38.65,-9.55,10.62
0.05,-0.52,1.02,-25.47,-8.15,-1.95
0.16,-0.54,0.97,-13.75,6.5,-2.38
0.08,-0.42,1.14,-8.31,12.91,5.92
0.04,-0.56,1.03,-5.08,7.17,4.09
0.1,-0.45,1.12,-2.03,0.39,2.75
0.06,-0.5,1.09,-1.91,-2.17,-1.1
0.07,-0.56,1.03,-2.21,-2.78,1.65
0.06,-0.52,1.07,-0.87,-0.64,2.68
0.06,-0.54,1.04,-1.36,7.29,-0.92
0.07,-0.54,1.04,-0.5,-0.95,-0.73
0.07,-0.53,1.04,-0.26,2.59,-0.55
0.05,-0.51,1.07,0.17,-1.99,-1.28
0.07,-0.52,1.07,1.51,-2.23,-0.73
0.05,-0.53,1.06,2.12,-1.68,-0.92
0.08,-0.54,1.05,0.96,-4.43,-0.0
