accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.13,-0.45,1.06,1.68,2.3,-10.24
0.07,-0.44,1.12,4.06,14.02,-11.89
0.07,-0.52,1.04,7.42,-2.09,-21.59
0.06,-0.49,1.07,24.14,-0.02,-28.92
0.22,-0.36,1.03,7.17,-12.04,-11.09
0.11,-0.45,1.03,24.26,1.33,-13.05
0.12,-0.42,1.08,5.89,1.57,-7.0
0.07,-0.45,1.07,5.83,9.51,-4.5
0.11,-0.38,1.08,14.01,2.97,-3.28
0.1,-0.45,1.04,4.18,3.59,-3.65
0.11,-0.41,1.04,-25.48,23.48,0.01
0.06,-0.35,1.01,-7.72,17.56,-7.43
0.0,-0.28,0.99,1.25,6.64,-6.03
0.09,-0.44,1.07,24.45,-31.75,-3.89
0.11,-0.46,1.08,13.7,-15.21,-0.6
0.1,-0.4,1.06,3.94,-2.64,-0.9
0.14,-0.41,1.06,-12.24,12.31,5.51
0.13,-0.36,1.02,-2.59,-13.44,23.94
0.05,-0.37,1.04,12.06,-29.13,26.32
0.11,-0.43,1.07,18.04,-40.6,13.75
0.18,-0.45,1.08,-2.71,-7.28,-30.44
0.25,-0.36,1.03,-4.06,-6.12,-17.62
0.2,-0.39,1.05,-1.25,9.75,-9.87
0.18,-0.39,1.06,3.88,14.45,-2.98
0.12,-0.22,1.2,-73.58,22.93,13.44
0.13,-0.53,1.02,-34.03,-11.19,3.55
0.19,-0.55,0.99,-20.72,6.82,-6.39
0.18,-0.44,1.13,-7.05,10.73,-5.17
0.16,-0.54,1.08,-1.8,14.69,-1.15
0.16,-0.47,1.11,-3.75,6.7,0.01
0.12,-0.48,1.14,2.96,6.7,1.91
0.16,-0.48,1.12,0.4,1.88,0.56
0.15,-0.49,1.11,1.25,2.24,0.56
0.14,-0.48,1.12,0.46,1.82,0.01
0.17,-0.52,1.08,3.33,-0.26,1.85
0.13,-0.47,1.13,-0.7,1.2,2.88
0.17,-0.51,1.09,3.82,3.59,1.24
0.12,-0.48,1.11,-0.52,5.97,-0.53
