accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.03,-0.59,1.07,2.15,0.91,-2.12
-0.02,-0.56,1.12,9.23,-0.55,0.08
-0.04,-0.57,1.07,3.07,-6.23,-1.76
-0.01,-0.51,1.04,11.55,-3.54,2.88
-0.04,-0.52,1.14,6.3,1.77,-0.9
0.03,-0.58,1.08,6.55,-14.34,-1.39
0.01,-0.56,1.05,6.18,-5.01,-0.53
0.0,-0.55,1.09,8.5,-11.48,3.19
0.03,-0.56,1.05,31.94,-10.56,2.27
0.0,-0.53,1.09,-3.89,-14.83,9.41
-0.06,-0.58,1.11,-6.94,6.35,-17.69
0.06,-0.55,1.08,-5.17,0.49,-13.72
0.07,-0.61,1.13,-14.94,27.1,-8.41
-0.03,-0.48,1.05,-12.01,20.75,11.86
-0.0,-0.5,1.07,5.88,-5.68,15.64
-0.06,-0.55,1.09,17.84,-17.95,14.66
0.0,-0.59,1.12,14.85,-33.33,5.45
-0.02,-0.56,1.1,-5.84,1.46,-36.97
0.21,-0.5,1.04,-1.81,-16.79,-23.12
0.07,-0.54,1.07,-8.16,21.85,-14.39
0.02,-0.54,1.09,5.69,-16.42,2.76
0.1,-0.37,1.48,30.6,-11.54,-6.58
0.02,-0.7,0.93,-52.35,4.33,4.17
0.08,-0.66,1.03,-20.67,6.35,0.87
0.01,-0.59,1.15,0.69,1.34,2.52
0.04,-0.63,1.11,1.91,2.5,1.78
0.01,-0.6,1.13,1.12,3.66,0.93
0.03,-0.62,1.1,0.26,-0.73,3.01
0.01,-0.59,1.14,3.31,2.44,2.21
0.03,-0.59,1.12,1.79,1.16,2.4
0.0,-0.58,1.14,4.29,3.84,2.15
0.02,-0.62,1.12,0.93,-2.57,0.38
0.04,-0.6,1.12,2.64,0.49,0.75
0.01,-0.61,1.12,2.89,0.18,1.11
0.02,-0.59,1.13,-0.53,0.24,0.87
0.04,-0.58,1.15,-1.14,-1.34,3.31
0.02,-0.59,1.14,3.13,0.67,1.17
