accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.07,-0.56,1.06,13.51,-8.12,-15.06
-0.1,-0.54,1.06,16.01,-10.07,-12.56
-0.15,-0.51,1.06,20.65,-23.07,-16.77
-0.06,-0.48,1.05,25.04,-13.37,-15.67
-0.09,-0.46,1.12,20.83,-6.6,-14.21
-0.11,-0.6,0.95,30.9,0.79,-9.45
-0.17,-0.46,1.04,4.05,-5.5,1.85
-0.11,-0.51,1.06,-1.75,11.29,-5.17
-0.12,-0.54,1.08,-1.99,9.33,0.44
-0.15,-0.45,1.02,-4.44,27.16,8.8
-0.2,-0.42,1.01,16.01,-15.08,17.59
-0.14,-0.5,1.05,37.56,-63.05,2.76
-0.02,-0.53,1.06,35.42,-47.73,-10.85
-0.07,-0.5,1.06,31.82,-37.05,-0.72
-0.02,-0.45,1.08,-27.63,-13.98,20.64
-0.04,-0.53,0.93,-18.53,21.6,12.41
0.03,-0.46,0.97,36.82,-4.58,17.72
-0.21,-0.46,1.02,0.39,8.54,2.21
-0.18,-0.55,1.11,-2.48,-12.33,-27.82
0.12,-0.44,0.97,-2.6,-13.68,-32.46
-0.04,-0.47,1.03,0.51,8.91,-17.44
-0.08,-0.49,1.04,9.48,-7.08,0.14
-0.05,-0.48,1.05,4.72,26.55,-7.61
-0.07,-0.03,1.53,-41.12,14.89,16.49
-0.1,-0.65,0.96,-39.71,-5.19,2.94
-0.06,-0.67,1.03,-10.29,20.63,5.45
-0.15,-0.56,1.14,-13.65,18.73,3.19
-0.06,-0.6,1.16,-13.1,8.6,4.17
0.05,-0.63,1.05,0.75,-36.62,29.07
-0.07,-0.6,1.2,-3.28,12.2,19.97
-0.14,-0.69,1.08,-1.51,-16.42,23.51
-0.01,-0.64,1.23,5.03,-21.79,23.21
-0.11,-0.68,1.14,-7.61,-7.45,21.38
-0.04,-0.72,1.08,1.06,-10.38,24.86
-0.16,-0.68,1.18,-1.57,20.2,22.35
