accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.19,-0.22,0.99,8.97,-25.02,-3.68
-0.25,-0.25,0.91,1.52,-23.61,-1.3
-0.19,-0.21,0.97,-3.72,-16.78,-1.66
-0.24,-0.28,0.91,-1.65,-17.57,-0.87
-0.23,-0.3,0.92,1.1,-18.61,-4.78
-0.16,-0.3,0.86,18.43,-3.29,-8.5
-0.24,-0.21,0.91,-12.09,-15.98,2.91
-0.2,-0.23,0.93,-12.33,-1.15,-4.59
-0.24,-0.21,0.94,-12.03,4.71,5.6
-0.23,-0.15,0.89,12.94,-38.14,15.55
-0.23,-0.3,0.99,10.5,-45.53,-1.3
-0.15,-0.3,0.98,-12.39,-12.99,-19.43
-0.13,-0.08,0.83,-21.55,13.01,-9.9
-0.24,-0.24,0.95,-15.63,10.26,-5.39
-0.21,-0.16,0.88,21.48,-38.38,-12.71
-0.18,-0.26,0.96,25.02,-37.1,-7.65
-0.19,-0.28,0.97,1.46,-1.28,0.78
-0.14,-0.29,0.97,-12.33,-30.82,27.33
-0.39,-0.26,1.0,-28.26,-7.56,-8.62
-0.06,-0.08,0.84,-20.45,-5.18,-19.43
-0.26,0.01,0.78,-7.2,25.21,-20.1
-0.26,-0.34,0.9,-85.27,3.36,3.52
-0.13,-0.31,0.94,-59.69,0.13,0.65
-0.21,-0.32,0.97,-40.71,14.53,-7.28
0.03,-0.38,0.96,-9.28,-44.12,10.36
-0.24,-0.43,0.91,-12.82,-11.59,14.08
-0.25,-0.31,1.11,-10.5,-4.51,17.26
-0.2,-0.35,1.03,-15.38,-21.54,21.35
-0.27,-0.45,1.01,-13.73,-10.98,22.69
-0.17,-0.35,1.13,-13.8,-22.64,26.17
-0.22,-0.4,1.05,-25.94,-21.11,29.59
-0.28,-0.45,1.09,-24.17,-8.66,24.34
-0.26,-0.51,0.98,-18.25,-12.02,23.79
-0.25,-0.48,1.11,-14.41,-3.78,16.4
-0.24,-0.48,1.06,-19.17,-14.09,14.45
-0.18,-0.56,1.01,-7.14,-15.98,12.07
-0.12,-0.48,1.08,-7.02,-11.96,13.47
-0.14,-0.5,1.09,-9.4,-6.52,18.11
