accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.16,-0.42,1.09,3.1,-9.25,2.12
-0.08,-0.49,0.96,0.23,-6.14,-0.01
-0.13,-0.44,1.05,8.77,-4.98,1.69
-0.11,-0.47,1.01,5.72,-1.44,-1.97
-0.14,-0.49,0.98,2.43,5.28,-2.27
-0.12,-0.51,0.98,18.17,16.57,-5.02
-0.12,-0.42,0.97,-12.65,15.29,-3.55
-0.18,-0.45,1.02,-13.32,17.18,-2.27
-0.18,-0.38,0.99,-5.14,0.52,2.37
-0.28,-0.3,0.96,-0.38,10.89,-7.58
-0.18,-0.45,1.02,26.6,-60.64,-6.73
-0.06,-0.51,1.06,9.87,-28.6,4.07
-0.19,-0.66,1.15,1.08,-25.91,-1.3
-0.11,-0.38,0.97,-13.08,13.58,-12.4
-0.12,-0.43,1.0,-11.12,19.74,-4.78
-0.14,-0.42,1.01,10.48,-17.43,-4.29
-0.14,-0.43,1.03,8.53,-9.19,-0.87
-0.09,-0.44,1.03,15.98,-26.09,0.53
-0.13,-0.6,0.75,-55.86,17.67,7.98
-0.15,-0.44,1.05,-22.72,4.91,5.42
-0.12,-0.47,1.04,-13.44,-0.03,0.9
-0.16,-0.51,1.0,-23.94,21.21,0.11
-0.15,-0.53,1.03,-3.19,8.21,3.53
-0.1,-0.48,1.05,-12.04,7.05,8.96
-0.12,-0.54,1.07,-11.92,15.84,10.79
-0.08,-0.44,1.11,-18.57,23.28,7.61
