accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.41,-0.34,1.15,-3.99,-26.12,-3.01
-0.41,-0.35,1.11,0.83,-20.69,-2.7
-0.45,-0.32,1.1,-3.8,-18.67,-6.3
-0.41,-0.32,1.16,2.91,-24.23,-7.77
-0.46,-0.35,1.12,-4.41,-19.22,-10.27
-0.43,-0.31,1.16,-29.99,-10.01,-1.54
-0.47,-0.23,1.1,-20.47,-13.55,-6.36
-0.55,-0.17,1.03,-25.59,13.8,-6.49
-0.48,-0.31,1.17,10.54,-58.47,-9.78
-0.43,-0.38,1.19,12.0,-41.99,-2.52
-0.47,-0.27,1.22,-51.9,-4.09,16.89
-0.42,-0.39,0.98,-38.41,8.0,1.88
-0.48,-0.34,1.1,35.01,-1.83,3.71
-0.5,-0.31,1.18,-19.55,-13.43,2.91
-0.49,-0.36,1.21,-3.74,-37.23,-3.25
-0.51,-0.38,1.21,-10.58,-21.3,-15.34
-0.39,-0.31,1.14,-23.46,0.43,2.42
-0.57,-0.31,1.2,13.22,-57.25,8.77
-0.53,-0.41,1.05,-59.71,-26.67,-10.27
-0.41,-0.41,1.11,-41.28,-16.29,-12.65
-0.42,-0.35,1.18,-16.5,-15.93,-3.8
-0.45,-0.35,1.24,-13.63,-20.14,-2.95
-0.41,-0.4,1.15,-18.57,-13.85,-4.78
-0.46,-0.36,1.23,-17.11,-15.26,-1.36
